class	size	virtual_size	raw score(mean)	pval (mean)	raw score(median)	pval (median)	roc_rate	rocpval	log-1	log-2	log-3	log-4	log-5	log-6	log-7	log-8	log-9	log-10
actin_polymerizing_GO:0008651	4	4	3.131873994	0.1126	3.560608878	0.09645	0.679389773	0.28926311	0.311773529	0.081392712	0.129025391	0.305396706	0.226278927	0.162449802	0.892282934	0.928688831	0.953570762	0.965727687
activation_of_JUN_kinase_GO:0007257	8	7	1.27388093	0.71184	0.738863511	0.9163	0.42664116	0.653588753	0.228008245	0.316051075	0.252313667	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
activation_of_MAPK_GO:0000187	11	11	1.490039991	0.60357	1.147134619	0.7541	0.521896088	0.504583821	0.234667849	0.253265918	0.114800029	0.286759815	0.447778078	0.589428563	0.73084252	0.815840862	0.877397572	0.908516276
acute-phase_response_GO:0006953	12	10	1.72797521	0.49573	1.006134317	0.81826	0.475380159	0.579197211	0.227404233	0.266496678	0.304173875	0.386545575	0.36522222	0.304611602	0.751988218	0.831086475	0.887898911	0.916479896
acyl-CoA_binding_GO:0000062	7	6	3.308078564	0.09238	3.79909909	0.07727	0.742501005	0.164427286	0.031733678	0.065133259	0.217751929	0.109632399	0.293365414	0.221402821	0.842839337	0.894951432	0.931162832	0.949028537
acyl-CoA_dehydrogenase_GO:0003995	9	8	2.877404566	0.14992	1.580168217	0.56136	0.540480212	0.420950941	0.256698389	0.260293804	0.274365883	0.163150536	0.089518529	0.268215766	0.184207538	0.128882531	0.087031199	0.065374928
acyl-CoA_metabolism_GO:0006637	4	4	2.05784111	0.36317	2.968269267	0.17065	0.523576942	0.484773722	0.363346095	0.273412745	0.395968463	0.305396706	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
acyl-CoA_or_acyl_binding_GO:0005541	11	10	2.778515203	0.1683	2.607507055	0.2365	0.676562877	0.192298942	0.086505199	0.111634926	0.172408133	0.066897413	0.36522222	0.304611602	0.751988218	0.831086475	0.887898911	0.916479896
acyltransferase_GO:0008415	92	82	2.478032287	0.23338	1.61265119	0.54553	0.567520058	0.196126764	0.012527019	0.02635785	0.003869687	0.003238033	0.016265935	0.051431054	0.0528783	0.046215361	0.013110345	0.353514424
adenylate_cyclase_activation_GO:0007190	24	19	1.751766573	0.48455	1.069794435	0.79054	0.494890724	0.558032343	0.172062047	0.160605576	0.192535624	0.286208272	0.359751492	0.375800267	0.581662863	0.703467572	0.797695367	0.847216329
adenylate_cyclase_GO:0004016	12	11	1.307644695	0.69508	1.300412347	0.6805	0.429165524	0.619618663	0.182239912	0.084423389	0.114800029	0.286759815	0.447778078	0.589428563	0.73084252	0.815840862	0.877397572	0.908516276
adenylate_cyclase_inhibition_GO:0007194	10	10	1.19940495	0.74814	1.159958929	0.74965	0.463335747	0.645803848	0.243953754	0.266496678	0.139784429	0.321267148	0.481730609	0.618463349	0.751988218	0.831086475	0.887898911	0.916479896
adherens_junction_GO:0005912	37	29	2.597654091	0.20598	1.64272826	0.53553	0.571632957	0.301488704	0.092294395	0.109345178	0.119304676	0.05313445	0.094017923	0.108088867	0.148572383	0.082663351	0.040936232	0.023982247
adrenoceptor_GO:0004935	12	8	0.957424423	0.85865	0.888499899	0.86939	0.328441723	0.726824456	0.061875309	0.052006323	0.207232651	0.403221289	0.557538871	0.680881926	0.796124424	0.862431873	0.909276217	0.932614204
aerobic_respiration_GO:0009060	8	8	3.619118305	0.06548	3.810344085	0.0757	0.790661197	0.098862734	0.062483694	0.011572953	0.005607258	0.163150536	0.338068995	0.268215766	0.184207538	0.128882531	0.909276217	0.932614204
alanine_aminopeptidase_GO:0016284	7	7	1.203449669	0.74613	0.875948564	0.87431	0.402581735	0.694359964	0.228008245	0.23567052	0.384158582	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
"alcohol_dehydrogenase,_zinc-dependent_GO:0004024"	12	11	2.86841257	0.15143	1.779983228	0.48038	0.621089592	0.422574447	0.215736008	0.141506183	0.19477583	0.082137243	0.141332977	0.319382654	0.23260268	0.167701736	0.115514727	0.087599816
alcohol_dehydrogenase_GO:0004022	9	8	2.885497348	0.14854	1.827487848	0.46264	0.558427847	0.283045	0.256698389	0.260293804	0.274365883	0.163150536	0.089518529	0.268215766	0.184207538	0.128882531	0.087031199	0.065374928
alcohol_metabolism_GO:0006066	22	18	2.5589863	0.21431	1.177315065	0.74175	0.545354487	0.408086641	0.186427867	0.191632706	0.120553442	0.082710359	0.095205262	0.156114419	0.076452557	0.24125622	0.174060961	0.134961158
aldehyde_dehydrogenase_(NAD(P)+)_GO:0004030	5	5	0.886224018	0.88729	0.990728043	0.82411	0.38321071	0.706088219	0.264739024	0.157656078	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
aldehyde_dehydrogenase_(NAD+)_GO:0004029	9	7	1.483060345	0.60732	1.177315065	0.74175	0.495803388	0.486641039	0.228008245	0.316051075	0.252313667	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
aldehyde_dehydrogenase_GO:0004028	12	10	1.26444994	0.7158	1.131645149	0.76023	0.445220854	0.611203337	0.147134357	0.223568331	0.139784429	0.321267148	0.481730609	0.618463349	0.751988218	0.831086475	0.887898911	0.916479896
aldehyde_metabolism_GO:0006081	7	7	1.543887108	0.57903	1.570477844	0.56574	0.514795857	0.508951875	0.293566908	0.235337624	0.252313667	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
aldehyde_reductase_GO:0004032	4	4	1.976714166	0.39294	2.813871533	0.19634	0.569283647	0.427115981	0.311773529	0.273412745	0.395968463	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
aldehyde-lyase_GO:0016832	6	5	1.502428773	0.59811	1.074016664	0.78775	0.514316729	0.51069549	0.3408378	0.315002784	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
aldo-keto_reductase_GO:0004033	5	5	0.88968813	0.88642	0.828230558	0.88964	0.359642986	0.726508835	0.264739024	0.157656078	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
aldolase_GO:0016228	6	5	1.502428773	0.59811	1.074016664	0.78775	0.514316729	0.51069549	0.3408378	0.315002784	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
alpha_DNA_polymerase_GO:0003889	11	10	1.952295845	0.40159	1.802705931	0.47183	0.601967174	0.32912107	0.086505199	0.208351737	0.297605113	0.386545575	0.481730609	0.618463349	0.751988218	0.831086475	0.887898911	0.916479896
alpha_DNA_polymerase-primase_complex_GO:0005658	7	6	1.504762797	0.59716	1.865061884	0.45007	0.488017692	0.536518524	0.298042945	0.32660975	0.400840106	0.506052269	0.64525321	0.7495823	0.842839337	0.894951432	0.931162832	0.949028537
alpha-adrenergic_receptor_GO:0004936	6	4	1.203280152	0.74613	1.195540998	0.73018	0.383321274	0.555307924	0.363346095	0.22814733	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
alpha-amylase_GO:0004556	4	4	4.33115652	0.02727	3.916282436	0.06901	0.658194645	0.308899971	0.311773529	0.081392712	0.129025391	0.305396706	0.226278927	0.162449802	0.103177133	0.069357918	0.045613147	0.033831599
alpha-ketoglutarate_dehydrogenase_complex_(sensu_Eukarya)_GO:0005947	5	4	1.692794209	0.51125	2.246507333	0.3269	0.558490111	0.442179308	0.311773529	0.273412745	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
alpha-ketoglutarate_dehydrogenase_complex_GO:0045240	5	4	1.692794209	0.51125	2.246507333	0.3269	0.558490111	0.442179308	0.311773529	0.273412745	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
alpha-mannosidase_GO:0004559	5	4	2.408233806	0.25148	3.098505171	0.15111	0.672877472	0.295034042	0.311773529	0.081392712	0.129025391	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
alpha-sialidase_GO:0016997	14	12	1.443439882	0.62731	0.667923064	0.9375	0.387765572	0.762200916	0.136540885	0.233385741	0.246255415	0.36965538	0.378760262	0.332100486	0.710288953	0.800873112	0.867019182	0.900620903
alternative-complement_pathway_C3/C5_convertase_GO:0003812	5	5	2.436025626	0.24364	1.530438934	0.58395	0.619394524	0.360207362	0.219298011	0.315002784	0.406617398	0.340818231	0.262961928	0.193560545	0.867210343	0.911665109	0.942300871	0.957342207
amiloride-sensitive_sodium_channel_GO:0015280	9	9	0.71925672	0.94237	0.593306055	0.95718	0.28582921	0.874527427	0.034756868	0.14468651	0.170201816	0.359921705	0.518252831	0.64892451	0.77374303	0.846615073	0.89852464	0.924512343
amine/polyamine_transport_GO:0015837	19	9	0.62189429	0.96571	0.387950828	0.98827	0.523148707	0.815414735	0.223139599	0.269888369	0.33327751	0.38969625	0.353574361	0.28761675	0.201432543	0.142351207	0.096764192	0.072916748
amine/polyamine_transporter_GO:0005275	41	27	1.58766935	0.5584	0.833629099	0.88857	0.520081697	0.824617551	0.087742793	0.164785314	0.148395623	0.236874442	0.280924887	0.363652815	0.362282475	0.306604272	0.23480047	0.187333223
amine_biosynthesis_GO:0009309	9	6	3.154924617	0.10971	1.667057849	0.52348	0.513208685	0.37450344	0.298042945	0.32660975	0.217751929	0.365128917	0.293365414	0.7495823	0.842839337	0.894951432	0.931162832	0.949028537
amine_metabolism_GO:0009308	17	13	2.115601284	0.34265	1.312158406	0.67566	0.374966335	0.43398172	0.04178775	0.127861944	0.219115	0.228456391	0.38687269	0.535374705	0.690311004	0.786178192	0.856762316	0.892793198
amine_oxidase_GO:0008131	4	4	1.945538402	0.40469	1.647003701	0.53278	0.239507959	0.498963482	0.188107626	0.22814733	0.455323628	0.635070734	0.746739832	0.82519488	0.892282934	0.928688831	0.953570762	0.965727687
amine_receptor_GO:0008227	31	27	1.168034125	0.76253	0.861853883	0.87937	0.403371808	0.734183092	0.020851575	0.109865657	0.148395623	0.236874442	0.280924887	0.363652815	0.362282475	0.306604272	0.23480047	0.187333223
amino_acid_activation_GO:0006418	93	83	2.024509888	0.37443	1.766060135	0.48627	0.521788114	0.346907817	0.06846669	0.041015632	0.052888448	0.140149382	0.092823701	0.20377122	0.268207561	0.334626496	0.371937006	0.35473261
amino_acid_biosynthesis_GO:0008652	44	34	2.995881629	0.1318	2.039559524	0.39197	0.615055463	0.139321104	0.00294627	0.061787961	0.01810916	0.001703085	0.006332241	0.003655748	0.002074166	0.020554962	0.05335497	0.743071096
amino_acid_catabolism_GO:0009063	40	31	2.426236559	0.24651	1.294588001	0.68247	0.496547821	0.461731299	0.12427267	0.127927557	0.048962638	0.010079541	0.014323052	0.010930464	0.160785721	0.563098292	0.691389171	0.762836497
amino_acid_derivative_metabolism_GO:0006575	44	30	1.948603996	0.40301	1.312158406	0.67566	0.517711106	0.448353338	0.047647848	0.143398007	0.056100412	0.119491472	0.254227712	0.34980152	0.36959254	0.322344991	0.251814468	0.202831638
amino_acid_permease_GO:0015359	6	5	1.115883313	0.78889	0.996974809	0.82132	0.405282837	0.642318647	0.264739024	0.352456259	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
amino_acid_transport_GO:0006865	35	29	2.268179038	0.29177	1.098827742	0.77664	0.52122064	0.472180196	0.14685854	0.141791524	0.119304676	0.236403739	0.191371846	0.244573172	0.148572383	0.082663351	0.040936232	0.023982247
amino_acid_transporter_GO:0015171	39	33	2.318536641	0.27667	0.996974809	0.82132	0.509756894	0.512946895	0.092132469	0.139751778	0.105014498	0.202144096	0.121081102	0.13329225	0.051260109	0.019085441	0.050806718	0.03014554
amino_acid-polyamine_transporter_GO:0005279	21	17	2.155179733	0.32936	0.996974809	0.82132	0.48938846	0.552805189	0.142869582	0.184812997	0.246813351	0.285614758	0.225717172	0.370123503	0.303137319	0.232086096	0.16633981	0.128565886
aminoglycan_biosynthesis_GO:0006023	8	7	2.104780221	0.3463	2.463025516	0.26969	0.628440446	0.31522005	0.226674145	0.105082705	0.250464626	0.451723376	0.599797496	0.714408897	0.819150366	0.87854219	0.920155117	0.94078607
aminoglycan_metabolism_GO:0006022	21	15	1.674804611	0.51967	1.460972856	0.61445	0.511709536	0.475067949	0.197933513	0.210082709	0.24470743	0.181996522	0.334239222	0.486266315	0.652018197	0.757587172	0.836607538	0.877338514
aminopeptidase_GO:0004177	20	18	1.349817123	0.67363	1.196985325	0.72948	0.446753107	0.692125661	0.186427867	0.158091322	0.209742673	0.129391394	0.268387063	0.420900367	0.598509034	0.716626207	0.807252109	0.854649863
aminophospholipid_transporter_GO:0015247	13	10	1.25708312	0.71987	1.042148437	0.80158	0.434685011	0.619211188	0.147134357	0.111080937	0.304173875	0.321267148	0.481730609	0.618463349	0.751988218	0.831086475	0.887898911	0.916479896
aminosugar_metabolism_GO:0006040	10	9	1.892515833	0.42579	1.230068785	0.71346	0.549749943	0.377397673	0.223139599	0.180828505	0.28980653	0.359921705	0.518252831	0.64892451	0.77374303	0.846615073	0.89852464	0.924512343
ammonia_ligase_GO:0016211	5	5	0.760891938	0.93052	0.255031295	0.99728	0.279242552	0.804421606	0.264739024	0.157656078	0.374000148	0.566907088	0.694147446	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
AMP_binding_GO:0016208	8	5	2.040092891	0.3688	1.274750109	0.69009	0.509878181	0.497144004	0.3408378	0.352456259	0.406617398	0.340818231	0.262961928	0.786482771	0.867210343	0.911665109	0.942300871	0.957342207
amylase_GO:0016160	4	4	4.33115652	0.02727	3.916282436	0.06901	0.658194645	0.308899971	0.311773529	0.081392712	0.129025391	0.305396706	0.226278927	0.162449802	0.103177133	0.069357918	0.045613147	0.033831599
amyloid_protein_GO:0005208	13	8	1.471712291	0.61318	2.004867708	0.40118	0.518460425	0.488609846	0.170058022	0.260293804	0.207232651	0.403221289	0.557538871	0.680881926	0.796124424	0.862431873	0.909276217	0.932614204
anabolic_carbohydrate_metabolism_GO:0006093	7	7	4.005023876	0.04109	2.603488736	0.2373	0.741585233	0.163006821	0.097187738	0.105082705	0.090646792	0.137044466	0.318190003	0.246213824	0.165822794	0.114864695	0.077054005	0.057697272
