class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6
acetylcholine receptor(GO:0015464)	6	5	0.598688614	0.4412	0.250048909	0.93154	0.390475095	0.931250379	0.984003986	0.994263439	0.998276259
acetyl-CoA biosynthesis(GO:0006085)	5	4	0.504862305	0.53843	0.351888437	0.84964	0.448901541	0.94461449	0.98718332	0.995408376	0.998620848
acetyl-CoA C-acyltransferase(GO:0003988)	6	4	1.133513657	0.13243	1.350934955	0.21423	0.709541063	0.94461449	0.98718332	0.995408376	0.998620848
acetyl-CoA metabolism(GO:0006084)	8	7	0.856508164	0.2472	0.351888437	0.84964	0.530811841	0.905082213	0.977674912	0.991977119	0.997587317
acetylgalactosaminyltransferase(GO:0008376)	8	7	0.337879377	0.75765	0.251024753	0.93154	0.334714072	0.905082213	0.977674912	0.991977119	0.997587317
acetylglucosaminyltransferase(GO:0008375)	13	8	0.788737022	0.28855	0.576602128	0.6429	0.554847526	0.892272972	0.974525114	0.990835735	0.997242965
acetyltransferase(GO:0016407)	34	25	0.55038945	0.48229	0.346916829	0.8605	0.447960337	0.700088376	0.922452234	0.971612177	0.991401102
acid phosphatase(GO:0003993)	14	9	0.71357564	0.33733	0.616252848	0.60711	0.534366568	0.879643561	0.971385102	0.989695533	0.996898693
acid-D-amino acid ligase(GO:0016881)	87	68	0.578951291	0.46239	0.362517776	0.84094	0.449044032	0.378234609	0.802435172	0.924477204	0.976726558
acidic amino acid transporter(GO:0015172)	5	4	0.357679232	0.73032	0.387091169	0.82296	0.3507879	0.94461449	0.98718332	0.995408376	0.998620848
actin capping protein(GO:0008290)	8	5	0.389438699	0.69111	0.369382311	0.84094	0.395996779	0.931250379	0.984003986	0.994263439	0.998276259
actin cross-linking(GO:0003780)	6	5	0.230934763	0.88333	0.228524965	0.95003	0.240331301	0.931250379	0.984003986	0.994263439	0.998276259
actin cytoskeleton organization and biogenesis(GO:0030036)	51	29	0.87291611	0.23621	0.517147751	0.69716	0.57080123	0.275946584	0.085559312	0.03238684	0.99002987
actin cytoskeleton reorganization(GO:0007012)	21	16	1.086563973	0.14823	0.54178381	0.67003	0.558576653	0.183020985	0.049157148	0.018111327	0.994491003
actin filament organization(GO:0007015)	29	17	0.85820728	0.2472	0.403598656	0.80514	0.511732858	0.191727235	0.052067042	0.019223337	0.994147364
actin filament severing(GO:0003789)	7	4	1.527395261	0.05607	1.714163752	0.13167	0.803542673	0.94461449	0.98718332	0.995408376	0.998620848
actin filament(GO:0005884)	45	29	0.630029955	0.40373	0.531420812	0.67962	0.512682925	0.66120422	0.910595539	0.96713806	0.99002987
actin filament-based movement(GO:0030048)	12	4	1.093110941	0.1448	1.079322154	0.31482	0.763888889	0.94461449	0.98718332	0.995408376	0.998620848
actin filament-based process(GO:0030029)	58	34	0.943382824	0.20197	0.566367754	0.65095	0.59377546	0.301385457	0.098758147	0.037774039	0.988317608
actin modulating(GO:0003790)	5	5	1.71242069	0.03776	1.625112409	0.14982	0.783135856	0.066820556	0.984003986	0.994263439	0.998276259
actin polymerization and/or depolymerization(GO:0008154)	8	6	1.298115808	0.0929	1.050455334	0.32576	0.740757785	0.918073823	0.980834526	0.993119687	0.997931748
action potential regulation(GO:0001508)	12	8	0.637497652	0.40373	0.503622561	0.70846	0.503380322	0.892272972	0.974525114	0.990835735	0.997242965
activation of JUN kinase(GO:0007257)	7	6	1.079378545	0.15167	1.138843297	0.28788	0.736213376	0.918073823	0.980834526	0.993119687	0.997931748
activation of MAPK(GO:0000187)	4	4	0.619271408	0.42269	0.296027185	0.90215	0.340637221	0.94461449	0.98718332	0.995408376	0.998620848
acute-phase response(GO:0006953)	25	20	0.515664715	0.52683	0.468433403	0.74743	0.43433971	0.751896778	0.937482564	0.977231016	0.993116922
acyl-CoA binding(GO:0000062)	6	5	1.334412455	0.08495	0.799762541	0.46585	0.700011504	0.066820556	0.984003986	0.994263439	0.998276259
acyl-CoA dehydrogenase(GO:0003995)	13	9	0.577264141	0.46239	0.312040315	0.88553	0.389189397	0.879643561	0.971385102	0.989695533	0.996898693
acyl-CoA metabolism(GO:0006637)	14	12	0.937938065	0.20637	0.671551894	0.55323	0.499318827	0.842809444	0.962023493	0.986282008	0.99586635
acyl-CoA or acyl binding(GO:0005541)	7	6	1.23271161	0.10558	0.799762541	0.46585	0.700011505	0.079059333	0.980834526	0.993119687	0.997931748
acyl-CoA thioesterase(GO:0016291)	5	5	0.678302367	0.36856	0.202598105	0.95971	0.432140803	0.931250379	0.984003986	0.994263439	0.998276259
acylglycerol metabolism(GO:0006639)	18	13	0.849995731	0.25256	0.546099423	0.67003	0.587883619	0.830874657	0.958922335	0.985146523	0.995522395
acylglycerol O-acyltransferase(GO:0016411)	5	4	0.582133082	0.4515	0.504283644	0.70846	0.522112951	0.94461449	0.98718332	0.995408376	0.998620848
acyltransferase(GO:0008415)	91	69	0.675173355	0.36856	0.428328428	0.78572	0.511161385	0.371967222	0.799831675	0.923405968	0.976387024
adenosine deaminase(GO:0004000)	6	4	0.395299735	0.6778	0.40781158	0.80514	0.353605935	0.94461449	0.98718332	0.995408376	0.998620848
adenylate cyclase activation(GO:0007190)	12	12	0.557649439	0.48229	0.396819889	0.81458	0.427670965	0.842809444	0.962023493	0.986282008	0.99586635
adenylate cyclase(GO:0004016)	6	6	0.864999494	0.2417	1.110590158	0.29669	0.60237383	0.918073823	0.980834526	0.993119687	0.997931748
adenylate kinase(GO:0004017)	6	4	0.70034157	0.34467	0.963000835	0.3719	0.494133885	0.94461449	0.98718332	0.995408376	0.998620848
adenylosuccinate synthase(GO:0004019)	8	5	1.590716555	0.04846	0.872650683	0.42004	0.771632348	0.066820556	0.015896672	0.994263439	0.998276259
adherens junction(GO:0005912)	30	19	0.634379929	0.40373	0.498436865	0.71782	0.487492495	0.762705954	0.940516839	0.978358287	0.993460324
ADP transport(GO:0015866)	9	5	0.629353799	0.41264	0.237234436	0.94434	0.463131255	0.931250379	0.984003986	0.994263439	0.998276259
adult locomotory behavior(GO:0008344)	9	5	0.450767357	0.59923	0.313804504	0.88553	0.34701484	0.931250379	0.984003986	0.994263439	0.998276259
aerobic respiration(GO:0009060)	9	9	0.501123745	0.53843	0.633345481	0.58591	0.501732714	0.879643561	0.971385102	0.989695533	0.996898693
aging(GO:0007568)	5	5	0.789582218	0.28855	0.544006162	0.67003	0.611296445	0.931250379	0.984003986	0.994263439	0.998276259
alanine aminopeptidase(GO:0016284)	6	5	0.718356095	0.33733	0.466135197	0.74743	0.521316001	0.931250379	0.984003986	0.994263439	0.998276259
alcohol dehydrogenase(GO:0004022)	11	10	0.599045181	0.4412	0.493831981	0.71782	0.55087477	0.867191477	0.968254847	0.988556511	0.996554499
"alcohol dehydrogenase, zinc-dependent(GO:0004024)"	10	9	0.620311928	0.41264	0.493831981	0.71782	0.562089999	0.879643561	0.971385102	0.989695533	0.996898693
alcohol metabolism(GO:0006066)	23	16	0.748698473	0.3159	0.546099423	0.67003	0.542134589	0.796066886	0.949676591	0.981747125	0.994491003
aldehyde dehydrogenase (NAD+)(GO:0004029)	13	8	0.659716934	0.3857	0.817961023	0.45388	0.460126582	0.892272972	0.974525114	0.990835735	0.997242965
aldehyde dehydrogenase(GO:0004028)	13	8	0.659716934	0.3857	0.817961023	0.45388	0.460126582	0.892272972	0.974525114	0.990835735	0.997242965
aldehyde metabolism(GO:0006081)	7	6	0.309075733	0.7973	0.380414192	0.82296	0.322883111	0.918073823	0.980834526	0.993119687	0.997931748
aldehyde reductase(GO:0004032)	8	6	0.424499902	0.63742	0.407644452	0.80514	0.43321445	0.918073823	0.980834526	0.993119687	0.997931748
aldehyde-lyase(GO:0016832)	12	7	0.675510346	0.36856	0.593323592	0.62611	0.590989036	0.905082213	0.977674912	0.991977119	0.997587317
aldo-keto reductase(GO:0004033)	8	7	0.372366278	0.70393	0.380414192	0.82296	0.383565922	0.905082213	0.977674912	0.991977119	0.997587317
aldolase(GO:0016228)	13	8	0.803790263	0.27595	0.646761886	0.57875	0.633544304	0.892272972	0.974525114	0.990835735	0.997242965
alpha DNA polymerase(GO:0003889)	13	11	0.44657146	0.61154	0.340120864	0.8605	0.411858891	0.85491425	0.965134321	0.98741867	0.996210385
alpha DNA polymerase:primase complex(GO:0005658)	6	5	0.830694253	0.25852	0.529183926	0.68753	0.546416657	0.931250379	0.984003986	0.994263439	0.998276259
alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor(GO:0004971)	5	4	0.992410635	0.18098	1.079383414	0.31482	0.628450656	0.94461449	0.98718332	0.995408376	0.998620848
alpha-amylase(GO:0004556)	7	5	1.079159451	0.15167	0.35269431	0.84964	0.560681008	0.931250379	0.984003986	0.994263439	0.998276259
alpha-mannosidase(GO:0004559)	6	5	0.280426787	0.82291	0.226049812	0.95003	0.269458185	0.931250379	0.984003986	0.994263439	0.998276259
"alpha-N-acetylneuraminide alpha-2,8-sialyltransferase(GO:0003828)"	4	4	0.311864873	0.78375	0.406802574	0.80514	0.336812744	0.94461449	0.98718332	0.995408376	0.998620848
alpha-sialidase(GO:0016997)	11	9	0.921157017	0.21077	0.342778688	0.8605	0.490837713	0.113664693	0.971385102	0.989695533	0.996898693
amine biosynthesis(GO:0009309)	14	12	0.507291026	0.53843	0.468605395	0.74743	0.461499348	0.842809444	0.962023493	0.986282008	0.99586635
amine metabolism(GO:0009308)	33	29	0.718938584	0.33733	0.44901138	0.76633	0.509397337	0.66120422	0.910595539	0.96713806	0.99002987
amine receptor(GO:0008227)	8	5	0.492807666	0.55061	0.429318155	0.78572	0.425790866	0.931250379	0.984003986	0.994263439	0.998276259
amine/polyamine transporter(GO:0005275)	29	26	0.850839174	0.2472	0.659175301	0.57017	0.56677104	0.258143967	0.91947418	0.970491905	0.991058175
amino acid activation(GO:0006418)	88	67	0.715481525	0.33733	0.505618574	0.70846	0.512762915	0.371617614	0.805046841	0.925549559	0.977066171
amino acid biosynthesis(GO:0008652)	32	23	0.75069145	0.30872	0.471863932	0.73561	0.526881343	0.720372573	0.92843627	0.973856214	0.992087193
amino acid catabolism(GO:0009063)	34	28	0.805376519	0.27595	0.562734723	0.65095	0.534041852	0.670719619	0.91354586	0.968254847	0.990372559
amino acid derivative metabolism(GO:0006575)	50	40	0.846464348	0.25256	0.537613983	0.67962	0.550941326	0.325641213	0.878742451	0.954929683	0.986265502
amino acid permease(GO:0015359)	7	7	0.862046377	0.2417	0.387091169	0.82296	0.590232917	0.905082213	0.977674912	0.991977119	0.997587317
amino acid transport(GO:0006865)	30	26	0.873826774	0.23621	0.659175301	0.57017	0.553731727	0.258143967	0.91947418	0.970491905	0.991058175
amino acid transporter(GO:0015171)	31	28	0.873507867	0.23621	0.659175301	0.57017	0.571708683	0.270233782	0.91354586	0.968254847	0.990372559
amino acid-polyamine transporter(GO:0005279)	21	19	0.926244427	0.21077	0.659175301	0.57017	0.591682282	0.208302421	0.940516839	0.978358287	0.993460324
aminoacyl-tRNA hydrolase reaction(GO:0006439)	8	7	0.432472572	0.62422	0.460429639	0.74743	0.382037247	0.905082213	0.977674912	0.991977119	0.997587317
aminoglycan biosynthesis(GO:0006023)	12	8	0.937593049	0.20637	0.576602128	0.6429	0.621835443	0.892272972	0.974525114	0.990835735	0.997242965
aminoglycan catabolism(GO:0006026)	7	4	0.906036122	0.22083	0.612897455	0.60711	0.593023925	0.94461449	0.98718332	0.995408376	0.998620848
aminoglycan metabolism(GO:0006022)	19	12	0.927074073	0.21077	0.600843501	0.61558	0.612297567	0.842809444	0.962023493	0.986282008	0.99586635
aminopeptidase(GO:0004177)	24	18	0.734929042	0.32322	0.49812019	0.71782	0.54280594	0.773669239	0.943560583	0.979486728	0.993803804
aminosugar metabolism(GO:0006040)	14	12	0.802344442	0.27595	0.462514622	0.74743	0.48793077	0.842809444	0.962023493	0.986282008	0.99586635
AMP binding(GO:0016208)	6	5	1.090255254	0.1448	0.938057708	0.38474	0.642378926	0.931250379	0.984003986	0.994263439	0.998276259
amylase(GO:0016160)	7	5	1.079159451	0.15167	0.35269431	0.84964	0.560681008	0.931250379	0.984003986	0.994263439	0.998276259
amyloid protein(GO:0005208)	4	4	1.034812294	0.16566	1.204343094	0.25873	0.764090177	0.94461449	0.98718332	0.995408376	0.998620848
anabolic carbohydrate metabolism(GO:0006093)	17	8	1.342502297	0.08307	1.318918124	0.22641	0.687945915	0.892272972	0.974525114	0.990835735	0.997242965
anaphase-promoting complex(GO:0005680)	13	7	0.545979433	0.49338	0.258069052	0.93154	0.439535151	0.905082213	0.977674912	0.991977119	0.997587317
angiogenesis(GO:0001525)	17	15	0.738852032	0.32322	0.314932164	0.88553	0.459318976	0.174027335	0.046228575	0.982879083	0.994834721
anion channel(GO:0005253)	52	40	0.490268097	0.55061	0.32640134	0.8775	0.3874769	0.564974268	0.878742451	0.954929683	0.986265502
anion exchanger(GO:0015380)	5	4	0.926389828	0.21077	0.578912928	0.6429	0.575281804	0.94461449	0.98718332	0.995408376	0.998620848
anion transport(GO:0006820)	84	68	0.684966968	0.36029	0.415290629	0.7954	0.475604935	0.371832895	0.802435172	0.924477204	0.976726558
anion transporter(GO:0008509)	43	34	0.700338455	0.34467	0.429151177	0.78572	0.490287736	0.615598895	0.895981217	0.961571492	0.988317608
anion:anion antiporter(GO:0015301)	5	4	0.926389828	0.21077	0.578912928	0.6429	0.575281804	0.94461449	0.98718332	0.995408376	0.998620848
anti-apoptosis(GO:0006916)	77	53	0.761608152	0.30207	0.42648788	0.78572	0.526579875	0.358738504	0.842482106	0.940680536	0.98182902
antibacterial peptide(GO:0003797)	4	4	0.498832079	0.55061	0.358819485	0.84964	0.459598574	0.94461449	0.98718332	0.995408376	0.998620848
antibody(GO:0003823)	29	16	0.654924379	0.3857	0.327111891	0.8775	0.465409756	0.796066886	0.949676591	0.981747125	0.994491003
anticoagulant(GO:0008435)	5	4	0.83496159	0.25852	1.237681622	0.24942	0.654848171	0.94461449	0.98718332	0.995408376	0.998620848
antigen presentation(GO:0019882)	21	15	1.523285826	0.05607	0.840386944	0.43654	0.649261008	0.001062874	0.046228575	0.016996987	0.994834721
"antigen presentation, endogenous antigen via MHC class I(GO:0019883)"	9	6	1.10086508	0.14175	1.540483877	0.16377	0.643446081	0.918073823	0.980834526	0.993119687	0.997931748
"antigen presentation, exogenous antigen via MHC class II(GO:0019884)"	12	9	1.804899657	0.03119	0.840386944	0.43654	0.652932827	2.13E-04	0.028260107	0.01026182	0.996898693
antigen processing(GO:0030333)	22	16	1.453356438	0.0655	0.840386944	0.43654	0.636568475	0.001290073	0.049157148	0.018111327	0.994491003
"antigen processing, endogenous antigen via MHC class I(GO:0019885)"	9	6	1.10086508	0.14175	1.540483877	0.16377	0.643446081	0.918073823	0.980834526	0.993119687	0.997931748
"antigen processing, exogenous antigen via MHC class II(GO:0019886)"	13	10	1.664851252	0.0421	0.840386944	0.43654	0.632251381	3.01E-04	0.031302547	0.011390212	0.996554499
antimicrobial humoral response (sensu Invertebrata)(GO:0006960)	35	30	0.530793006	0.50472	0.343543389	0.8605	0.436267497	0.651822732	0.907654407	0.966022432	0.989687259
antimicrobial humoral response(GO:0019730)	35	30	0.530793006	0.50472	0.343543389	0.8605	0.436267497	0.651822732	0.907654407	0.966022432	0.989687259
antimicrobial peptide(GO:0003795)	17	16	0.718065717	0.33733	0.40893595	0.80514	0.472882112	0.183020985	0.949676591	0.981747125	0.994491003
antioxidant(GO:0016209)	9	7	0.66977938	0.37734	0.444920068	0.76633	0.512763614	0.905082213	0.977674912	0.991977119	0.997587317
antiport(GO:0015982)	6	4	0.384644435	0.69111	0.406823628	0.80514	0.403899241	0.94461449	0.98718332	0.995408376	0.998620848
antiporter(GO:0015297)	13	10	0.65592796	0.3857	0.388456181	0.82296	0.485623849	0.867191477	0.968254847	0.988556511	0.996554499
antiviral response protein(GO:0003800)	14	10	0.41072959	0.65065	0.359493719	0.84964	0.367633517	0.867191477	0.968254847	0.988556511	0.996554499
AP-2 adaptor complex(GO:0030122)	4	4	0.368415607	0.71737	0.418822045	0.7954	0.402547734	0.94461449	0.98718332	0.995408376	0.998620848
apical bud growth(GO:0007118)	12	4	1.093110941	0.1448	1.079322154	0.31482	0.763888889	0.94461449	0.98718332	0.995408376	0.998620848
apicolateral plasma membrane(GO:0016327)	81	60	0.735241649	0.32322	0.548417716	0.67003	0.53616385	0.424238415	0.82355939	0.933087444	0.979445665
apolipoprotein(GO:0005320)	24	19	0.46711772	0.5868	0.401117612	0.80514	0.398542156	0.762705954	0.940516839	0.978358287	0.993460324
apoptosis activator(GO:0016506)	11	8	0.724538183	0.33041	0.502868466	0.70846	0.528481013	0.892272972	0.974525114	0.990835735	0.997242965
apoptosis inhibitor(GO:0008189)	53	36	0.683957014	0.36029	0.432666853	0.77592	0.49994869	0.598243055	0.890199043	0.959352951	0.987633257
apoptosis regulator(GO:0016329)	100	69	0.799321173	0.28231	0.450361709	0.75799	0.518336382	0.371967222	0.179641339	0.073915327	0.976387024
apoptotic mitochondrial changes(GO:0008637)	6	6	0.327834517	0.77103	0.246813885	0.9384	0.303516644	0.918073823	0.980834526	0.993119687	0.997931748
apoptotic program(GO:0008632)	30	24	0.588239285	0.4515	0.442838808	0.76633	0.468363308	0.710158645	0.925439588	0.972733613	0.991744108
arachidonate 12-lipoxygenase(GO:0004052)	4	4	0.479691879	0.57447	0.375955232	0.83153	0.376984127	0.94461449	0.98718332	0.995408376	0.998620848
ARF guanyl-nucleotide exchange factor(GO:0005086)	6	6	0.51100006	0.52683	0.567462013	0.65095	0.467613898	0.918073823	0.980834526	0.993119687	0.997931748
ARF small monomeric GTPase(GO:0003926)	8	7	0.599370699	0.4412	0.490810924	0.71782	0.502128639	0.905082213	0.977674912	0.991977119	0.997587317
arginase(GO:0004053)	7	6	0.519278245	0.52683	0.338830243	0.8687	0.446138211	0.918073823	0.980834526	0.993119687	0.997931748
arginine metabolism(GO:0006525)	8	6	0.51692832	0.52683	0.283658957	0.90953	0.398354809	0.918073823	0.980834526	0.993119687	0.997931748
aromatic amino acid family catabolism(GO:0009074)	10	9	0.835544985	0.25852	0.562734723	0.65095	0.581245764	0.879643561	0.971385102	0.989695533	0.996898693
aromatic amino acid family metabolism(GO:0009072)	19	15	0.631067523	0.40373	0.389266396	0.82296	0.473284963	0.807505697	0.952748913	0.982879083	0.994834721
aromatic compound metabolism(GO:0006725)	12	7	0.66212369	0.37734	0.328528486	0.8775	0.393033845	0.905082213	0.977674912	0.991977119	0.997587317
Arp2/3 protein complex(GO:0005885)	16	11	1.015103925	0.17304	0.596922395	0.62611	0.63170673	0.85491425	0.965134321	0.98741867	0.996210385
aryl sulfotransferase(GO:0004062)	5	4	0.356201444	0.73032	0.379896232	0.83153	0.374511157	0.94461449	0.98718332	0.995408376	0.998620848
aspartate family amino acid metabolism(GO:0009066)	12	8	0.314646752	0.78375	0.269590021	0.9248	0.306832566	0.892272972	0.974525114	0.990835735	0.997242965
aspartic-type endopeptidase(GO:0004190)	14	11	0.665311592	0.37734	0.246305892	0.9384	0.405433406	0.85491425	0.965134321	0.98741867	0.996210385
astacin(GO:0008533)	12	9	0.53151795	0.50472	0.304765311	0.89436	0.429380698	0.879643561	0.971385102	0.989695533	0.996898693
ATP biosynthesis(GO:0006754)	25	15	0.613055801	0.42269	0.444443356	0.76633	0.505577949	0.807505697	0.952748913	0.982879083	0.994834721
ATP dependent DNA helicase(GO:0004003)	16	12	0.751249427	0.30872	0.498396412	0.71782	0.486817868	0.842809444	0.962023493	0.986282008	0.99586635
ATP dependent helicase(GO:0008026)	83	64	0.679159132	0.36856	0.451990372	0.75799	0.485126028	0.167237114	0.812931119	0.928773344	0.978085482
ATP dependent RNA helicase(GO:0004004)	22	17	0.968034196	0.1932	0.701814919	0.52817	0.546291089	0.191727235	0.946613824	0.98061634	0.994147364
ATP transport(GO:0015867)	9	5	0.629353799	0.41264	0.237234436	0.94434	0.463131255	0.931250379	0.984003986	0.994263439	0.998276259
ATP/ADP antiporter(GO:0005471)	9	5	0.629353799	0.41264	0.237234436	0.94434	0.463131255	0.931250379	0.984003986	0.994263439	0.998276259
ATP/ADP exchange(GO:0006854)	9	5	0.629353799	0.41264	0.237234436	0.94434	0.463131255	0.931250379	0.984003986	0.994263439	0.998276259
ATP-binding cassette (ABC) transporter(GO:0004009)	80	65	0.863890127	0.2417	0.665558313	0.56241	0.587340171	0.170128104	0.81029479	0.927697628	0.977745633
autophagy(GO:0006914)	9	7	0.677875541	0.36856	0.628416834	0.5955	0.595229877	0.905082213	0.977674912	0.991977119	0.997587317
auxiliary transport protein(GO:0015457)	21	15	0.292330984	0.81009	0.183681794	0.96781	0.288548505	0.807505697	0.952748913	0.982879083	0.994834721
axon cargo transport(GO:0008088)	7	5	0.997114794	0.18098	0.478493184	0.73561	0.531416082	0.066820556	0.984003986	0.994263439	0.998276259
axon guidance receptor(GO:0008046)	5	5	0.630014558	0.40373	0.524574352	0.68753	0.498585068	0.931250379	0.984003986	0.994263439	0.998276259
axon guidance(GO:0007411)	29	17	0.762441864	0.30207	0.504535036	0.70846	0.544386998	0.784788813	0.946613824	0.98061634	0.994147364
axonemal dynein(GO:0005858)	8	4	0.582693004	0.4515	0.558584536	0.66075	0.494248907	0.94461449	0.98718332	0.995408376	0.998620848
axonemal microtubule(GO:0005879)	8	4	0.582693004	0.4515	0.558584536	0.66075	0.494248907	0.94461449	0.98718332	0.995408376	0.998620848
axoneme(GO:0005930)	9	5	0.71607911	0.33733	0.558584536	0.66075	0.569538709	0.931250379	0.984003986	0.994263439	0.998276259
axonogenesis(GO:0007409)	35	23	0.673423359	0.36856	0.504535036	0.70846	0.513439419	0.720372573	0.92843627	0.973856214	0.992087193
ba3-type cytochrome c oxidase(GO:0009482)	17	12	0.62087649	0.41264	0.527748327	0.68753	0.509920178	0.842809444	0.962023493	0.986282008	0.99586635
base-excision repair(GO:0006284)	8	8	0.531069698	0.50472	0.53811897	0.67962	0.450949367	0.892272972	0.974525114	0.990835735	0.997242965
basement lamina(GO:0005605)	32	22	0.834351962	0.25852	0.498396412	0.71782	0.528479819	0.730732192	0.931442308	0.974979981	0.992430357
basement membrane(GO:0005604)	47	35	0.942598773	0.20197	0.614307948	0.60711	0.577401428	0.074268	0.893085618	0.960461645	0.987975393
B-cell activation(GO:0042113)	9	5	0.429499781	0.63742	0.312028587	0.88553	0.415069596	0.931250379	0.984003986	0.994263439	0.998276259
B-cell receptor(GO:0004892)	29	16	0.654924379	0.3857	0.327111891	0.8775	0.465409756	0.796066886	0.949676591	0.981747125	0.994491003
behavior(GO:0007610)	87	60	0.860626882	0.2417	0.442685326	0.76633	0.509327005	0.367646724	0.160675854	0.064880341	0.020414569
benzodiazepine receptor(GO:0008503)	5	5	0.198751322	0.9248	0.229053043	0.95003	0.203059933	0.931250379	0.984003986	0.994263439	0.998276259
beta DNA polymerase(GO:0003890)	14	12	0.435866382	0.62422	0.340120864	0.8605	0.406497045	0.842809444	0.962023493	0.986282008	0.99586635
bicarbonate transport(GO:0015701)	6	4	0.856373155	0.2472	0.478693202	0.73561	0.546238785	0.94461449	0.98718332	0.995408376	0.998620848
bile acid metabolism(GO:0008206)	5	4	0.630471805	0.40373	0.750613285	0.49542	0.561220382	0.94461449	0.98718332	0.995408376	0.998620848
bile acid transporter(GO:0015125)	8	6	0.449532468	0.61154	0.412906688	0.7954	0.389285166	0.918073823	0.980834526	0.993119687	0.997931748
binding of sperm to zona pellucida(GO:0007339)	6	4	0.437490006	0.62422	0.53831258	0.67962	0.388860133	0.94461449	0.98718332	0.995408376	0.998620848
