class	size	virtual_size	raw score (mean)	pval (mean)	raw score (median)	pval (median)	aroc rate	log-3	log-4	log-5	log-6	log-7	log-8
"3',5'-cyclic-nucleotide phosphodiesterase(GO:0004114)"	24	21	2.628139004	0.40445	2.033994446	0.69046	0.534299617	0.146365254	0.095749623	0.201180067	0.24664989	0.348310717	0.415464835
3'-5' exonuclease(GO:0008408)	20	15	3.513819437	0.25217	2.319378074	0.63919	0.605489251	0.212596556	0.243495759	0.227316121	0.27108304	0.34477583	0.534103089
35S primary transcript processing(GO:0006365)	4	4	3.604411048	0.23884	4.465973894	0.3443	0.635444257	0.281506813	0.182480293	0.376626963	0.297009483	0.221464771	0.846088534
3-hydroxyacyl-CoA dehydrogenase(GO:0003857)	6	5	1.539602868	0.64917	1.092886513	0.86185	0.364431066	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
aa3-type cytochrome c oxidase(GO:0009481)	13	11	2.105015291	0.51372	1.696117393	0.74765	0.486597509	0.178484366	0.193339748	0.312594921	0.382429718	0.370863671	0.631404317
ABC-type efflux porter(GO:0015427)	8	7	1.957950615	0.54825	1.644155934	0.75696	0.456513136	0.313701777	0.341297905	0.301701015	0.467959592	0.608543448	0.746370111
ABC-type uptake permease(GO:0015406)	27	22	2.339130213	0.46351	1.929723799	0.70728	0.479071604	0.180363322	0.164177016	0.186457443	0.231804335	0.209615788	0.398423208
acetate metabolism(GO:0006083)	5	4	1.466539147	0.66757	1.605567583	0.76548	0.432578859	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
acetylcholine binding(GO:0042166)	13	13	3.655105566	0.23206	1.273679572	0.82741	0.571133218	0.195385706	0.096588495	0.031436264	0.029977998	0.008252479	0.082429292
acetylcholine receptor(GO:0015464)	13	13	3.655105566	0.23206	1.273679572	0.82741	0.571133218	0.195385706	0.096588495	0.031436264	0.029977998	0.008252479	0.082429292
acetyl-CoA C-acyltransferase(GO:0003988)	5	5	1.614515601	0.62941	2.207413622	0.66136	0.409753161	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
acetyl-CoA metabolism(GO:0006084)	5	4	1.466539147	0.66757	1.605567583	0.76548	0.432578859	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
acetylgalactosaminyltransferase(GO:0008376)	6	5	2.31162123	0.46788	2.241915113	0.65144	0.535653221	0.320392215	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
acetylglucosaminyltransferase(GO:0008375)	10	9	3.622458668	0.23618	2.959854859	0.54135	0.589179349	0.189372578	0.207435592	0.117045762	0.047507272	0.349649384	0.686491811
acetyltransferase(GO:0016407)	21	20	2.667418152	0.39673	2.648638592	0.59004	0.560434258	0.162830447	0.170423749	0.121620561	0.261847466	0.356124843	0.370517591
acid phosphatase(GO:0003993)	14	11	2.600700621	0.40824	0.794687347	0.91354	0.441323708	0.248920484	0.244778931	0.291856568	0.219022794	0.370863671	0.631404317
acid-ammonia (or amide) ligase(GO:0016880)	5	5	1.148161798	0.75306	0.941296935	0.88643	0.348416616	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
acid-D-amino acid ligase(GO:0016881)	83	68	3.14732389	0.30902	2.483469253	0.61545	0.561396434	0.037463077	0.062059976	0.067783695	0.137921149	0.180635922	0.228149826
acidic amino acid transporter(GO:0015172)	9	7	1.213688025	0.73385	0.496420389	0.96231	0.309664321	0.224968422	0.341297905	0.301701015	0.467959592	0.608543448	0.746370111
actin bundling(GO:0003781)	5	5	1.327477518	0.70446	1.367951886	0.81153	0.407152318	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
actin capping protein(GO:0008290)	5	5	1.981411593	0.54136	1.669974018	0.75248	0.510415412	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
actin cross-linking(GO:0003780)	9	8	3.627318095	0.23618	3.979017557	0.40169	0.595489039	0.057195318	0.178412876	0.092570631	0.385053587	0.333625169	0.71580696
actin cytoskeleton organization and biogenesis(GO:0030036)	27	20	2.101943895	0.51372	1.601379551	0.76548	0.433793727	0.109405573	0.170423749	0.216026671	0.261847466	0.356124843	0.370517591
actin cytoskeleton reorganization(GO:0007012)	27	23	3.177186628	0.30405	2.211056391	0.65848	0.538097911	0.12728716	0.17216587	0.083282873	0.054672013	0.137703702	0.375925373
actin filament organization(GO:0007015)	18	11	2.447124116	0.44058	1.494047319	0.78722	0.45489599	0.178484366	0.280945411	0.291856568	0.382429718	0.370863671	0.296664842
actin filament severing(GO:0003789)	4	4	4.49630436	0.13835	1.771368695	0.73401	0.616451962	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.144430828
actin filament(GO:0005884)	44	29	2.73071858	0.38292	2.312513846	0.63919	0.526310749	0.158220307	0.150998976	0.201873072	0.23693497	0.280934832	0.220416725
actin filament-based movement(GO:0030048)	11	5	1.840805822	0.57451	0.997525239	0.87881	0.411751957	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
actin filament-based process(GO:0030029)	35	26	1.920774922	0.55555	1.494047319	0.78722	0.416437618	0.069844331	0.084036978	0.132178716	0.177403041	0.302370485	0.374905665
actin modulating(GO:0003790)	5	4	3.200014538	0.29891	1.987681709	0.69843	0.551950397	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
actin polymerization and/or depolymerization(GO:0008154)	7	5	1.444128534	0.67261	1.229520611	0.83754	0.378446719	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
actin polymerization/depolymerization regulation(GO:0008064)	6	4	1.333145502	0.70202	1.581650641	0.76875	0.410245606	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
actin polymerizing(GO:0008651)	4	4	3.265908753	0.28912	4.341988603	0.35668	0.602576451	0.087136606	0.182480293	0.376626963	0.648012787	0.752941299	0.846088534
activation of JUN kinase(GO:0007257)	8	7	3.474974661	0.25779	1.263069922	0.82958	0.480652432	0.313701777	0.29738265	0.220866077	0.375498315	0.313358572	0.223048828
activation of MAPK(GO:0000187)	11	11	4.763941482	0.11512	4.194499142	0.37493	0.696272278	0.02312232	0.016719516	0.060893552	0.075164106	0.136219972	0.063163787
acute-phase response(GO:0006953)	12	10	2.292993193	0.47227	2.10455038	0.67886	0.491120482	0.265144619	0.296622318	0.180464481	0.33789298	0.491798765	0.658373848
acyl-CoA binding(GO:0000062)	7	6	2.906981094	0.3516	3.085896538	0.52403	0.622390816	0.203230125	0.377507532	0.401240846	0.521602209	0.653308958	0.778234229
acyl-CoA dehydrogenase(GO:0003995)	9	8	2.037461493	0.52963	1.942406158	0.70467	0.482067574	0.175512605	0.12997312	0.254209358	0.419827894	0.566840302	0.71580696
acyl-CoA metabolism(GO:0006637)	4	4	3.044442196	0.32669	2.827507991	0.55992	0.676258127	0.40397385	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
acyl-CoA or acyl binding(GO:0005541)	11	10	2.152876717	0.50275	2.309764924	0.64097	0.490313253	0.265144619	0.226844391	0.337242032	0.33789298	0.491798765	0.658373848
acyltransferase(GO:0008415)	92	82	2.442113504	0.44058	2.108924958	0.67886	0.512472284	0.06208333	0.073170244	0.041939011	0.073604992	0.175128985	0.113009588
adenylate cyclase activation(GO:0007190)	24	19	2.274541049	0.47646	1.664690567	0.75248	0.472598696	0.178890534	0.217310945	0.244216865	0.127106402	0.259457915	0.451759022
adenylate cyclase inhibition(GO:0007194)	12	11	2.5318138	0.42225	2.347286729	0.63377	0.474131604	0.178484366	0.280945411	0.291856568	0.219022794	0.136219972	0.631404317
adenylate cyclase(GO:0004016)	10	10	3.260297907	0.28912	3.84575867	0.41767	0.583915663	0.04643646	0.116637227	0.045966653	0.387485706	0.491798765	0.658373848
adherens junction(GO:0005912)	38	29	2.551615291	0.41845	1.461401134	0.79252	0.497270445	0.158220307	0.150998976	0.201873072	0.23693497	0.280934832	0.368893815
adrenoceptor(GO:0004935)	12	8	2.286619665	0.47426	1.635771797	0.75948	0.463668393	0.285579569	0.302253673	0.254209358	0.419827894	0.566840302	0.71580696
aerobic respiration(GO:0009060)	8	8	2.662198286	0.39673	2.272498596	0.64636	0.550770899	0.285579569	0.307303762	0.379933254	0.385053587	0.333625169	0.71580696
alanine aminopeptidase(GO:0016284)	7	7	2.978005227	0.33904	1.85189423	0.7195	0.528380448	0.242883739	0.29738265	0.394492294	0.375498315	0.313358572	0.223048828
alcohol dehydrogenase(GO:0004022)	12	11	2.747094866	0.38082	2.219509869	0.65848	0.545859852	0.248920484	0.244778931	0.312594921	0.382429718	0.370863671	0.296664842
"alcohol dehydrogenase, zinc-dependent(GO:0004024)"	9	8	2.781443334	0.37335	2.219509869	0.65848	0.530037943	0.285579569	0.307303762	0.379933254	0.385053587	0.333625169	0.244505203
alcohol metabolism(GO:0006066)	22	18	1.794001672	0.58617	1.568070413	0.77323	0.427540601	0.008651672	0.052988034	0.045793224	0.141700226	0.278573745	0.471074674
aldehyde dehydrogenase (NAD(P)+)(GO:0004030)	5	5	1.978460294	0.54377	2.179710508	0.66719	0.522263697	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
aldehyde dehydrogenase (NAD+)(GO:0004029)	9	7	1.950185046	0.54825	1.503012265	0.78538	0.428777894	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
aldehyde dehydrogenase(GO:0004028)	12	10	1.978583401	0.54377	1.717470782	0.74307	0.460951807	0.102219785	0.078012635	0.180464481	0.33789298	0.491798765	0.658373848
aldehyde metabolism(GO:0006081)	7	7	1.838607812	0.57694	1.503012265	0.78538	0.440477624	0.224968422	0.341297905	0.301701015	0.467959592	0.608543448	0.746370111
aldehyde reductase(GO:0004032)	4	4	3.453640955	0.2607	4.71219827	0.31625	0.61651216	0.281506813	0.182480293	0.376626963	0.297009483	0.752941299	0.846088534
aldehyde-lyase(GO:0016832)	6	5	3.488722745	0.25641	2.808794988	0.5644	0.571703793	0.320392215	0.235734836	0.396759683	0.5813859	0.701361285	0.811454522
aldo-keto reductase(GO:0004033)	5	5	2.3519307	0.45954	2.675587893	0.58301	0.551234196	0.344771205	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
aldolase(GO:0016228)	6	5	3.488722745	0.25641	2.808794988	0.5644	0.571703793	0.320392215	0.235734836	0.396759683	0.5813859	0.701361285	0.811454522
alpha DNA polymerase(GO:0003889)	11	10	4.447277176	0.14299	4.396855627	0.35167	0.703746988	0.04643646	0.040586493	0.045966653	0.060909904	0.491798765	0.658373848
alpha DNA polymerase:primase complex(GO:0005658)	7	6	3.410994924	0.26668	3.158763827	0.51539	0.620724952	0.070756116	0.377507532	0.401240846	0.35870215	0.288313959	0.778234229
alpha-adrenergic receptor(GO:0004936)	6	4	3.042948545	0.32669	3.272766441	0.49949	0.511106429	0.281506813	0.419050518	0.504282468	0.648012787	0.752941299	0.846088534
alpha-amylase(GO:0004556)	4	4	2.097774683	0.51597	2.635317704	0.59163	0.539339032	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
alpha-ketoglutarate dehydrogenase complex (sensu Eukarya)(GO:0005947)	5	4	1.078447805	0.77309	1.419627077	0.80154	0.301498916	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
alpha-ketoglutarate dehydrogenase complex(GO:0045240)	5	4	1.078447805	0.77309	1.419627077	0.80154	0.301498916	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
alpha-mannosidase(GO:0004559)	5	4	3.175598528	0.30405	2.379823329	0.63079	0.622893089	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
alpha-sialidase(GO:0016997)	14	12	2.503524381	0.42819	2.319115392	0.63919	0.529083313	0.23692287	0.261249781	0.295155296	0.374315198	0.426676519	0.605536445
alternative-complement pathway C3/C5 convertase(GO:0003812)	5	5	3.699167429	0.22711	3.140488238	0.51664	0.621095725	0.148785806	0.235734836	0.148048042	0.076254843	0.257900072	0.811454522
amiloride-sensitive sodium channel(GO:0015280)	9	9	2.512306549	0.42625	2.374338813	0.63079	0.537605911	0.271820014	0.306203869	0.360186061	0.376641551	0.527990371	0.686491811
amine biosynthesis(GO:0009309)	19	9	2.100018863	0.51372	0.86235724	0.90051	0.340989707	0.13478182	0.100697074	0.214188685	0.376641551	0.527990371	0.686491811
amine metabolism(GO:0009308)	41	27	2.387844745	0.45314	0.862360568	0.90051	0.391922769	0.027306722	0.073234362	0.187402103	0.246606074	0.279886151	0.207116824
amine oxidase(GO:0008131)	9	6	2.960202553	0.34065	2.430678127	0.62349	0.462206969	0.282459155	0.377507532	0.401240846	0.35870215	0.288313959	0.199321761
amine receptor(GO:0008227)	17	13	1.80737844	0.58369	1.229399805	0.83754	0.414190486	0.117938625	0.137159855	0.107924166	0.24394728	0.397418995	0.580725359
amine/polyamine transport(GO:0015837)	4	4	1.182974139	0.74208	1.498007392	0.78722	0.365910185	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
amine/polyamine transporter(GO:0005275)	32	28	2.708247761	0.38871	1.587314383	0.76875	0.500815021	0.141026624	0.179657827	0.132300837	0.238258308	0.280782897	0.21394705
amino acid activation(GO:0006418)	93	83	2.999789679	0.33535	1.929181106	0.70728	0.53114854	0.037629025	0.052695064	0.076199131	0.088822516	0.030792398	0.190897446
amino acid biosynthesis(GO:0008652)	44	34	1.681038818	0.61234	0.922806574	0.89041	0.373123561	0.013871048	0.025049374	0.057861705	0.097219949	0.089228664	0.240931695
amino acid catabolism(GO:0009063)	40	31	2.253691157	0.48064	1.143040222	0.85214	0.445772241	0.053849358	0.082549614	0.1451248	0.211617669	0.279204461	0.36270791
amino acid derivative metabolism(GO:0006575)	44	30	2.4103266	0.4466	1.131368726	0.85409	0.396191626	0.063641547	0.140390209	0.155582891	0.220671716	0.280392028	0.226521562
amino acid permease(GO:0015359)	7	6	2.100126442	0.51372	1.473423606	0.79067	0.431217887	0.328165729	0.377507532	0.401240846	0.521602209	0.653308958	0.778234229
amino acid transport(GO:0006865)	36	30	2.556865167	0.41845	1.587314383	0.76875	0.491767311	0.150577737	0.170035679	0.190586122	0.220671716	0.280392028	0.365992115
amino acid transporter(GO:0015171)	40	34	2.626110735	0.40445	1.686058647	0.74945	0.50040514	0.101266496	0.161398209	0.187692291	0.184310637	0.272262672	0.247268012
amino acid-polyamine transporter(GO:0005279)	22	18	2.618701247	0.40647	1.473423606	0.79067	0.472450019	0.194388702	0.221379719	0.170742741	0.292810307	0.36938792	0.362501824
aminoglycan biosynthesis(GO:0006023)	8	7	1.515015204	0.65407	1.365266864	0.81153	0.395605719	0.069104759	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
aminoglycan metabolism(GO:0006022)	21	15	2.101531668	0.51372	1.365266864	0.81153	0.425244123	0.07395667	0.094988113	0.214868568	0.337911752	0.380828486	0.534103089
aminopeptidase(GO:0004177)	20	18	2.518684191	0.42625	1.50075064	0.78538	0.471183738	0.193075841	0.203190298	0.24501467	0.285352303	0.36938792	0.362501824
aminophospholipid transporter(GO:0015247)	13	10	2.967912479	0.34065	2.302625045	0.64097	0.562108434	0.215546951	0.229686715	0.283341161	0.387485706	0.491798765	0.658373848
aminosugar metabolism(GO:0006040)	10	9	2.401658995	0.44882	1.900374599	0.70933	0.535424112	0.25067944	0.306203869	0.360186061	0.388677089	0.527990371	0.686491811
ammonia ligase(GO:0016211)	5	5	1.148161798	0.75306	0.941296935	0.88643	0.348416616	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
AMP binding(GO:0016208)	9	6	1.14658455	0.75306	0.512605438	0.95924	0.258068401	0.101243105	0.216511673	0.358057057	0.521602209	0.653308958	0.778234229
amylase(GO:0016160)	4	4	2.097774683	0.51597	2.635317704	0.59163	0.539339032	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
amyloid protein(GO:0005208)	13	8	1.877012423	0.56758	1.419504202	0.80154	0.427502409	0.175512605	0.302253673	0.254209358	0.419827894	0.566840302	0.71580696
anabolic carbohydrate metabolism(GO:0006093)	7	7	1.695921253	0.61007	1.380156698	0.80724	0.427625127	0.224968422	0.16775483	0.301701015	0.467959592	0.608543448	0.746370111
anaphase-promoting complex(GO:0005680)	8	7	4.604734644	0.12855	4.696803943	0.31879	0.744274875	0.11276898	0.041724008	0.068636051	0.375498315	0.313358572	0.746370111
androgen metabolism(GO:0008209)	4	4	2.727346511	0.38488	2.675587893	0.58301	0.477245365	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
angiogenesis(GO:0001525)	17	13	2.948233609	0.34418	1.805105643	0.72797	0.509563234	0.23367431	0.254848143	0.293962103	0.250107329	0.167687629	0.082429292
angiotensin receptor(GO:0001595)	5	4	3.553128226	0.24622	2.988180131	0.53787	0.535004816	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
angiotensin type II receptor(GO:0004945)	5	4	3.553128226	0.24622	2.988180131	0.53787	0.535004816	0.40397385	0.419050518	0.376626963	0.297009483	0.221464771	0.846088534
anion channel(GO:0005253)	65	61	2.513014041	0.42625	1.447483874	0.7958	0.477238175	0.02382602	0.044658887	0.140002046	0.168623724	0.115935861	0.219420844
anion exchanger(GO:0015380)	8	6	1.770268413	0.59123	0.983961666	0.88091	0.365647078	0.328165729	0.377507532	0.401240846	0.521602209	0.653308958	0.778234229
anion transport(GO:0006820)	97	84	1.975368931	0.54377	1.383303981	0.80724	0.440212798	0.006576335	3.77E-04	0.001290859	0.004924707	0.015640792	0.106422585
anion transporter(GO:0008509)	52	41	2.285462307	0.47426	1.318212565	0.82029	0.458919443	0.133238906	0.077717213	0.061942788	0.05473265	0.054184757	0.179603559
anion:anion antiporter(GO:0015301)	9	7	3.049636089	0.32669	0.983961666	0.88091	0.454758177	0.242883739	0.29738265	0.220866077	0.375498315	0.313358572	0.223048828
anti-apoptosis(GO:0006916)	84	56	2.894477693	0.35346	1.443533463	0.7958	0.464575617	0.08656545	0.1269744	0.144495277	0.169571407	0.20265803	0.117398094
antibacterial peptide(GO:0003797)	13	11	2.299378177	0.47227	1.345129719	0.81522	0.457678362	0.178484366	0.280945411	0.291856568	0.219022794	0.458083885	0.631404317
antibody(GO:0003823)	35	20	3.338074689	0.27871	2.037754292	0.69046	0.543528347	0.132662053	0.195634893	0.242125513	0.261847466	0.356124843	0.433233142
antigen presentation(GO:0019882)	31	21	3.705489435	0.22573	2.282105752	0.64409	0.572405196	0.180095355	0.095749623	0.062991555	0.282899497	0.256203687	0.415464835
"antigen presentation, endogenous antigen via MHC class I(GO:0019883)"	11	8	1.86483324	0.57008	1.486225634	0.78921	0.42536437	0.175512605	0.302253673	0.379933254	0.419827894	0.566840302	0.71580696
"antigen presentation, exogenous antigen via MHC class II(GO:0019884)"	20	13	4.83820094	0.10962	2.967826639	0.54025	0.662806761	0.120948131	0.03733614	0.031436264	0.250107329	0.167687629	0.580725359
antigen processing(GO:0030333)	31	21	3.705489435	0.22573	2.282105752	0.64409	0.572405196	0.180095355	0.095749623	0.062991555	0.282899497	0.256203687	0.415464835
"antigen processing, endogenous antigen via MHC class I(GO:0019885)"	11	8	1.86483324	0.57008	1.486225634	0.78921	0.42536437	0.175512605	0.302253673	0.379933254	0.419827894	0.566840302	0.71580696
"antigen processing, exogenous antigen via MHC class II(GO:0019886)"	20	13	4.83820094	0.10962	2.967826639	0.54025	0.662806761	0.120948131	0.03733614	0.031436264	0.250107329	0.167687629	0.580725359
antimicrobial humoral response (sensu Invertebrata)(GO:0006960)	85	70	2.293267445	0.47227	1.218955152	0.83881	0.436777046	0.075397602	0.047392551	0.034482025	0.079372476	0.151650824	0.159768321
antimicrobial humoral response(GO:0019730)	85	70	2.293267445	0.47227	1.218955152	0.83881	0.436777046	0.075397602	0.047392551	0.034482025	0.079372476	0.151650824	0.159768321
antimicrobial peptide(GO:0003795)	25	21	2.355565467	0.45954	1.038884681	0.87357	0.418885614	0.044039364	0.154049501	0.238046278	0.205233354	0.348310717	0.373134455
antioxidant(GO:0016209)	7	7	4.239932814	0.16312	2.516193115	0.61073	0.597219594	0.242883739	0.29738265	0.220866077	0.375498315	0.313358572	0.223048828
antiport(GO:0015982)	11	9	3.800320153	0.21286	3.641789045	0.44668	0.588014831	0.027188789	0.207435592	0.117045762	0.178032787	0.102715723	0.26383634
antiporter(GO:0015297)	24	21	3.26877488	0.28912	3.079240314	0.52538	0.523562495	0.025325648	0.095749623	0.062991555	0.105651449	0.039282709	0.159090153
antiviral response protein(GO:0003800)	28	23	2.82919643	0.366	1.111721074	0.85787	0.494892472	0.164485234	0.17216587	0.210131151	0.274358666	0.26787863	0.176352461
apical bud growth(GO:0007118)	12	5	1.847788103	0.57451	0.997525239	0.87881	0.391426851	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
apicolateral plasma membrane(GO:0016327)	23	17	2.569226794	0.41635	1.353685789	0.81327	0.484980246	0.204239897	0.218520741	0.258462972	0.282689202	0.374517644	0.35695436
apolipoprotein(GO:0005320)	34	27	1.58291698	0.63695	0.747049931	0.92299	0.324842046	0.058493975	0.170981132	0.049429114	0.165256537	0.146872958	0.323119214
apoptosis inhibitor(GO:0008189)	56	38	3.00884542	0.33356	1.755599166	0.73696	0.481577039	0.138415747	0.153714085	0.170703521	0.20670535	0.256842954	0.262246343
apoptosis regulator(GO:0016329)	108	71	2.765743803	0.37712	1.10963432	0.85992	0.45089056	0.070251146	0.111299355	0.125673567	0.156493525	0.182392599	0.166412468
apoptotic mitochondrial changes(GO:0008637)	13	6	4.254066193	0.16114	2.383265711	0.62902	0.536990206	0.328165729	0.274068357	0.187176934	0.102647925	0.052915319	0.021205774
apoptotic program(GO:0008632)	18	11	3.733806704	0.22185	1.256946327	0.83157	0.486115523	0.231306735	0.142080605	0.163347886	0.219022794	0.136219972	0.063163787
ARF guanyl-nucleotide exchange factor(GO:0005086)	5	5	4.219567069	0.16535	3.926468601	0.40685	0.724166165	0.148785806	0.235734836	0.148048042	0.076254843	0.701361285	0.811454522
ARF small monomeric GTPase(GO:0003926)	6	6	1.527184095	0.65159	1.528516127	0.77993	0.398623154	0.282459155	0.377507532	0.358057057	0.521602209	0.653308958	0.778234229
arginine biosynthesis(GO:0006526)	7	5	1.105017946	0.76402	1.30229912	0.82167	0.333534016	0.148319631	0.279429595	0.424930531	0.5813859	0.701361285	0.811454522
arginine catabolism(GO:0006527)	4	4	1.061948616	0.77577	1.297109562	0.82419	0.340476764	0.217273872	0.360618741	0.504282468	0.648012787	0.752941299	0.846088534
arginine metabolism(GO:0006525)	10	8	1.00633058	0.79245	1.297109562	0.82419	0.314894001	0.047165683	0.12997312	0.254209358	0.419827894	0.566840302	0.71580696
aromatic amino acid family biosynthesis(GO:0009073)	15	12	1.708097464	0.60788	1.68099185	0.74945	0.424068049	0.146202762	0.163416128	0.128101091	0.271933709	0.426676519	0.605536445
"aromatic amino acid family biosynthesis, shikimate pathway(GO:0016089)"	14	11	1.491031267	0.65946	1.209405239	0.84082	0.391613447	0.076744891	0.060436294	0.152046761	0.303126642	0.458083885	0.631404317
aromatic amino acid family catabolism(GO:0009074)	12	8	1.990078658	0.53897	0.77296473	0.91777	0.377996266	0.175512605	0.302253673	0.379933254	0.385053587	0.333625169	0.244505203
aromatic amino acid family metabolism(GO:0009072)	30	23	2.019077841	0.53413	1.209405239	0.84082	0.440637772	0.063560359	0.123125585	0.172060256	0.217399198	0.330989601	0.375925373
aromatic compound biosynthesis(GO:0019438)	14	11	1.491031267	0.65946	1.209405239	0.84082	0.391613447	0.076744891	0.060436294	0.152046761	0.303126642	0.458083885	0.631404317
aromatic compound metabolism(GO:0006725)	22	18	1.438688339	0.67555	1.373466656	0.80956	0.374644905	0.034248115	0.052988034	0.045793224	0.141700226	0.278573745	0.471074674
Arp2/3 protein complex(GO:0005885)	16	14	2.945938023	0.34418	3.154296232	0.51539	0.570283441	0.0311195	0.2513661	0.289013723	0.218838087	0.370164396	0.556928008
arylsulfatase(GO:0004065)	5	5	2.91800525	0.34977	3.180853692	0.51039	0.54410596	0.148785806	0.405945729	0.396759683	0.333134433	0.257900072	0.811454522
aspartate catabolism(GO:0006533)	4	4	3.876884424	0.20389	4.809668302	0.30723	0.684234288	0.281506813	0.182480293	0.376626963	0.297009483	0.221464771	0.846088534
aspartate family amino acid catabolism(GO:0009068)	4	4	3.876884424	0.20389	4.809668302	0.30723	0.684234288	0.281506813	0.182480293	0.376626963	0.297009483	0.221464771	0.846088534
aspartate family amino acid metabolism(GO:0009066)	15	12	2.639642375	0.4027	2.154110405	0.66957	0.524393428	0.226594925	0.261249781	0.287348042	0.374315198	0.376888393	0.605536445
