class	size	virtual_size	raw score(mean)	pval (mean)	raw score(median)	pval (median)	aroc rate	rocpval	log-1	log-2	log-3	log-4	log-5	log-6	log-7	log-8	log-9	log-10
acetyl-CoA_biosynthesis_GO:0006085	5	4	1.929301291	0.0019	3.552361409	5.00E-05	0.517386723	0.477239328	0.126875647	0.007011393	3.69E-04	0.009563347	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acetyl-CoA_C-acyltransferase_GO:0003988	6	4	0.223465408	0.9463	0.18262637	0.9526	0.284999247	0.768342528	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acetyl-CoA_metabolism_GO:0006084	7	6	1.51495864	0.011	1.015693265	0.1546	0.559353511	0.414184121	0.061459386	0.016315258	9.07E-04	0.014280307	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
acetylgalactosaminyltransferase_GO:0008376	7	7	0.384422731	0.7629	0.303425208	0.8435	0.39651463	0.692033798	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
acetylglucosaminyltransferase_GO:0008375	13	8	0.44500669	0.676	0.286339966	0.8626	0.378106643	0.664821961	0.211059741	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
acetyltransferase_GO:0016407	31	24	0.657830306	0.373	0.321490726	0.8224	0.484492174	0.572335019	0.123715852	0.157263553	0.159686681	0.943706105	0.982071285	0.992791193	0.992791193	0.996389349	0.996389349	0.996389349
acid_phosphatase_GO:0003993	12	9	0.521411932	0.5572	0.533517932	0.5685	0.490140939	0.537301571	0.335902579	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
acid-D-amino_acid_ligase_GO:0016881	79	64	0.576604785	0.4728	0.401943053	0.7221	0.487406008	0.565903948	0.105172499	0.271302586	0.310384147	0.856435137	0.952762218	0.980834464	0.980834464	0.990371596	0.990371596	0.990371596
actin_capping_protein_GO:0008290	7	5	0.407331745	0.7313	0.377635979	0.7514	0.379644685	0.595352816	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
actin_cytoskeleton_organization_and_biogenesis_GO:0030036	44	26	0.46045071	0.6515	0.330236965	0.808	0.416954213	0.734958711	0.095350213	0.37469273	0.811771408	0.939151614	0.980588913	0.992191636	0.992191636	0.996088461	0.996088461	0.996088461
actin_cytoskeleton_reorganization_GO:0007012	16	14	0.589578974	0.4561	0.540230684	0.5584	0.443895242	0.549721367	0.236754398	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
actin_filament_GO:0005884	24	14	0.376455945	0.7762	0.329103653	0.8111	0.401822059	0.735322658	0.065632579	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
actin_filament_organization_GO:0007015	7	4	0.383826277	0.7658	0.377635979	0.7514	0.589831401	0.720635005	0.39450791	0.127478061	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
actin_filament_severing_GO:0003789	33	21	0.913619234	0.1505	0.722800166	0.351	0.407068834	0.339671725	0.016774332	0.467515394	0.845041494	0.950576682	0.984298203	0.993690867	0.993690867	0.99684068	0.99684068	0.99684068
actin_filament-based_movement_GO:0030048	11	4	0.40515933	0.7347	0.549150687	0.5468	0.435044408	0.582136472	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
actin_filament-based_process_GO:0030029	50	30	0.509498087	0.5764	0.330236965	0.808	0.433267845	0.699199717	0.117571622	0.199728946	0.786083714	0.930104385	0.97762954	0.990993065	0.990993065	0.995486686	0.995486686	0.995486686
actin_modulating_GO:0003790	5	5	0.894964501	0.1623	0.452730009	0.6602	0.612556459	0.354328366	0.174152408	0.153710562	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
actin_polymerization_and/or_depolymerization_GO:0008154	7	5	0.678465794	0.3489	0.258848401	0.8909	0.453929539	0.552943397	0.406058683	0.153710562	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
action_potential_regulation_GO:0001508	10	8	0.911791543	0.1519	0.482911289	0.6291	0.609805694	0.321125005	0.116745444	0.220741534	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
activation_of_JUN_kinase_GO:0007257	7	6	0.616981656	0.4209	0.377952788	0.7514	0.503689203	0.493975542	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
acute-phase_response_GO:0006953	13	12	0.554790092	0.5023	0.584642638	0.5009	0.534024115	0.450590781	0.295119693	0.647801948	0.908331694	0.971470848	0.991003207	0.996392337	0.996392337	0.998194674	0.998194674	0.998194674
acyl-CoA_binding_GO:0000062	5	5	0.753111132	0.2762	0.589155309	0.4955	0.706534176	0.248306935	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
acyl-CoA_dehydrogenase_GO:0003995	11	9	0.572723615	0.4783	0.412524789	0.7098	0.518295337	0.444427569	0.173737232	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
acyl-CoA_metabolism_GO:0006637	8	7	0.647927146	0.3851	0.179562075	0.9557	0.392620482	0.689884604	0.385408169	0.200235489	0.053244179	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
acyl-CoA_or_acyl_binding_GO:0005541	6	6	0.698192786	0.3271	0.589155309	0.4955	0.675425388	0.268671278	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
acyl-CoA_thioesterase_GO:0016291	5	5	0.168481453	0.9776	0.1435007	0.9737	0.221499548	0.852205463	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
acylglycerol_metabolism_GO:0006639	10	9	0.371935149	0.7843	0.325340904	0.817	0.408824613	0.656781172	0.173737232	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
acylglycerol_O-acyltransferase_GO:0016411	4	4	0.402322831	0.7376	0.121162364	0.9819	0.318342616	0.726696331	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acyltransferase_GO:0008415	76	60	0.620988958	0.4161	0.439913952	0.6763	0.512668893	0.450330241	0.09098705	0.275287493	0.300360102	0.86480905	0.955661234	0.982026877	0.982026877	0.990973371	0.990973371	0.990973371
adenylate_cyclase_activation_GO:0007190	8	8	0.421267494	0.7104	0.26283122	0.887	0.420074559	0.665365683	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
adenylate_cyclase_GO:0004016	6	6	0.478827065	0.6212	0.498242592	0.6102	0.451764293	0.596956764	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
adenylate_kinase_GO:0004017	6	4	0.620550669	0.4161	0.782252927	0.292	0.582154147	0.379465064	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
adenylosuccinate_synthase_GO:0004019	7	5	0.518936961	0.5614	0.511195549	0.5979	0.541884974	0.463867299	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
adherens_junction_GO:0005912	23	17	0.495156053	0.5967	0.269570933	0.8819	0.442329873	0.627533225	0.185362063	0.540473012	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
ADP_transport_GO:0015866	7	4	0.956838391	0.1249	1.431267266	0.0469	0.639507753	0.264825353	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
adult_locomotory_behavior_GO:0008344	5	4	0.544992127	0.52	0.652709024	0.4213	0.540343218	0.466276765	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aerobic_respiration_GO:0009060	8	8	0.704756223	0.3214	0.681185651	0.3867	0.615623588	0.320496369	0.272339628	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
aging_GO:0007568	5	5	0.414345663	0.7194	0.497381723	0.6133	0.464950316	0.576451961	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
alanine_aminopeptidase_GO:0016284	6	5	0.439348654	0.6853	0.435700934	0.6801	0.457723577	0.526552393	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
"alcohol_dehydrogenase,_zinc-dependent_GO:0004024"	8	8	0.882905411	0.1696	0.633577043	0.4437	0.692442386	0.200415732	0.272339628	0.220741534	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
alcohol_dehydrogenase_GO:0004022	7	7	0.829343284	0.209	0.633577043	0.4437	0.713618761	0.212912781	0.248034262	0.200235489	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
alcohol_metabolism_GO:0006066	14	11	0.401984667	0.74	0.374049954	0.753	0.446613513	0.603584933	0.117713351	0.671689645	0.915644709	0.973818813	0.991750457	0.996692726	0.996692726	0.998345118	0.998345118	0.998345118
aldehyde_dehydrogenase_(NAD+)_GO:0004029	9	4	0.347311001	0.8182	0.273826985	0.8773	0.30520849	0.684341483	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aldehyde_dehydrogenase_GO:0004028	9	4	0.347311001	0.8182	0.273826985	0.8773	0.30520849	0.684341483	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aldehyde_metabolism_GO:0006081	5	5	0.891611488	0.1653	0.454408396	0.6591	0.536735923	0.455011905	0.174152408	0.153710562	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
aldehyde_reductase_GO:0004032	6	6	0.40672822	0.7313	0.14322883	0.9737	0.329970386	0.760386935	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
aldehyde-lyase_GO:0016832	7	5	0.402264473	0.7376	0.192443229	0.9463	0.394579946	0.646043269	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
aldo-keto_reductase_GO:0004033	4	4	0.466862957	0.6404	0.102680872	0.9885	0.319095288	0.72570471	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aldolase_GO:0016228	8	6	0.371919452	0.7843	0.220194347	0.9236	0.377553581	0.686656347	0.311449945	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
alpha_DNA_polymerase_GO:0003889	9	8	0.468930663	0.636	0.388096216	0.7381	0.420018075	0.590832687	0.272339628	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
alpha-mannosidase_GO:0004559	5	4	0.27753141	0.9004	0.382370702	0.7458	0.347847358	0.702935564	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
alpha-sialidase_GO:0016997	5	5	0.459264348	0.6548	0.700667064	0.3678	0.473080397	0.561096294	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
amine/polyamine_transporter_GO:0005275	7	7	0.458181862	0.6548	0.246930432	0.9019	0.410219449	0.724454425	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
amine_biosynthesis_GO:0009309	22	22	0.375948102	0.7786	0.329132845	0.8111	0.436349914	0.675033143	0.147685002	0.366335636	0.838282182	0.948281296	0.983555448	0.993390931	0.993390931	0.996690236	0.996690236	0.996690236
amine_metabolism_GO:0009308	20	19	0.458879171	0.6548	0.394867413	0.7282	0.422513738	0.725102918	0.196014038	0.502677912	0.858720929	0.955183089	0.985785058	0.994290877	0.994290877	0.997141568	0.997141568	0.997141568
amino_acid_activation_GO:0006418	74	60	0.679382772	0.3489	0.460920043	0.6532	0.506318	0.455373835	0.042825903	0.041863855	0.300360102	0.86480905	0.955661234	0.982026877	0.982026877	0.990973371	0.990973371	0.990973371
amino_acid_biosynthesis_GO:0008652	24	18	0.714344064	0.3116	0.720668909	0.3522	0.548758821	0.353435344	0.243988507	0.346294021	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
amino_acid_catabolism_GO:0009063	25	23	0.477192482	0.6241	0.273826985	0.8773	0.404563117	0.791639486	0.133135707	0.369402048	0.154243921	0.945991107	0.982813142	0.993091039	0.993091039	0.996539792	0.996539792	0.996539792
amino_acid_derivative_metabolism_GO:0006575	35	33	0.578216827	0.4703	0.394867413	0.7282	0.479153494	0.618119014	0.177385316	0.217605359	0.767342975	0.923372654	0.975414703	0.990094613	0.990094613	0.995035354	0.995035354	0.995035354
amino_acid_metabolism_GO:0006520	103	90	0.553426777	0.5057	0.394867413	0.7282	0.462837002	0.714719118	0.065737513	0.227864828	0.355011527	0.803830153	0.934089634	0.973101435	0.973101435	0.986460057	0.986460057	0.986460057
amino_acid_permease_GO:0015359	4	4	0.448094767	0.6693	0.597669824	0.4832	0.415851272	0.622422666	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
amino_acid_transport_GO:0006865	23	20	0.442621035	0.6791	0.214271651	0.9295	0.393232232	0.776896129	0.231068651	0.484779302	0.851854271	0.952877276	0.985041406	0.99399085	0.99399085	0.996991124	0.996991124	0.996991124
amino_acid_transporter_GO:0015171	24	22	0.456959693	0.6583	0.246930432	0.9019	0.422936535	0.741489097	0.211571718	0.450863774	0.838282182	0.948281296	0.983555448	0.993390931	0.993390931	0.996690236	0.996690236	0.996690236
amino_acid-polyamine_transporter_GO:0005279	15	14	0.455128713	0.661	0.214271651	0.9295	0.402123581	0.732328685	0.275843115	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
aminoacyl-tRNA_hydrolase_reaction_GO:0006439	8	7	0.444081467	0.676	0.217240807	0.9276	0.386725473	0.652716413	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
aminoglycan_biosynthesis_GO:0006023	10	7	0.354076776	0.8065	0.286339966	0.8626	0.405486231	0.672462011	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
aminoglycan_metabolism_GO:0006022	13	10	0.464485488	0.6442	0.343336529	0.7941	0.483727588	0.554546861	0.143009978	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
aminopeptidase_GO:0004177	15	13	0.45960306	0.6548	0.432344174	0.6823	0.465283736	0.552943375	0.222864843	0.624760311	0.901075993	0.96912819	0.990256407	0.996091992	0.996091992	0.99804423	0.99804423	0.99804423
aminosugar_metabolism_GO:0006040	14	12	0.659264799	0.3707	0.707611002	0.3628	0.583358453	0.295043234	0.211005539	0.647801948	0.908331694	0.971470848	0.991003207	0.996392337	0.996392337	0.998194674	0.998194674	0.998194674
amyloid_protein_GO:0005208	4	4	1.582438005	0.0082	1.160855186	0.0991	0.719403884	0.241183792	0.126875647	0.127478061	0.031151176	0.009563347	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
anabolic_carbohydrate_metabolism_GO:0006093	12	6	0.588334828	0.4561	0.485531942	0.6271	0.468177483	0.544586496	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
anaphase-promoting_complex_GO:0005680	9	7	0.529663284	0.544	0.460920043	0.6532	0.480271084	0.514037243	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
angiogenesis_GO:0001525	8	8	0.493714657	0.6001	0.242270027	0.907	0.450312547	0.604996108	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
anion_channel_GO:0005253	38	32	0.459524436	0.6548	0.338641716	0.799	0.435752079	0.721149442	0.045192623	0.313621859	0.773540656	0.925611472	0.976152535	0.990394052	0.990394052	0.995185798	0.995185798	0.995185798
anion_exchanger_GO:0015380	4	4	0.589748264	0.4561	0.787013815	0.2897	0.585766973	0.410513403	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
anion_transport_GO:0006820	57	49	0.636450498	0.3961	0.385609053	0.741	0.4847511	0.575464138	0.145110656	0.156765824	0.674558044	0.888234834	0.96366993	0.985309748	0.985309748	0.992628253	0.992628253	0.992628253
anion_transporter_GO:0008509	29	26	0.764520872	0.2639	0.580341589	0.5076	0.509538415	0.465364587	0.087837655	0.050500673	0.811771408	0.939151614	0.980588913	0.992191636	0.992191636	0.996088461	0.996088461	0.996088461
anion-anion_antiporter_GO:0015301	4	4	0.589748264	0.4561	0.787013815	0.2897	0.585766973	0.410513403	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
anti-apoptosis_GO:0006916	57	45	0.624475678	0.411	0.499942001	0.6102	0.500043758	0.387901973	0.151384747	0.326063428	0.696666037	0.896899816	0.966595459	0.986504878	0.986504878	0.993230029	0.993230029	0.993230029
antibody_GO:0003823	13	9	0.622643363	0.4137	0.431416265	0.6848	0.405761441	0.652631367	0.335902579	0.239543964	0.067388704	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
"antigen_presentation,_endogenous_antigen_via_MHC_class_I_GO:0019883"	11	9	2.091967671	0.0012	2.368071275	0.0024	0.530481069	0.216620525	0.046331535	0.035161044	0.067388704	0.021275619	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
"antigen_presentation,_exogenous_antigen_via_MHC_class_II_GO:0019884"	5	4	0.432981111	0.6921	0.276199656	0.8732	0.738070149	0.64198916	0.01811626	0.007011393	0.031151176	0.009563347	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
antigen_presentation_GO:0019882	6	5	1.170308471	0.0549	0.570666076	0.5201	0.364348088	0.400705159	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
"antigen_processing,_endogenous_antigen_via_MHC_class_I_GO:0019885"	11	9	2.091967671	0.0012	2.368071275	0.0024	0.530481069	0.216620525	0.046331535	0.035161044	0.067388704	0.021275619	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
"antigen_processing,_exogenous_antigen_via_MHC_class_II_GO:0019886"	5	4	0.432981111	0.6921	0.276199656	0.8732	0.738070149	0.64198916	0.01811626	0.007011393	0.031151176	0.009563347	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
antigen_processing_GO:0030333	6	5	1.170308471	0.0549	0.570666076	0.5201	0.364348088	0.400705159	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
antimicrobial_humoral_response_(sensu_Invertebrata)_GO:0006960	20	18	0.66747983	0.3616	0.455051851	0.6591	0.514557248	0.435455647	0.196265714	0.346294021	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
antimicrobial_humoral_response_GO:0019730	20	18	0.66747983	0.3616	0.455051851	0.6591	0.514557248	0.435455647	0.196265714	0.346294021	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
antimicrobial_peptide_GO:0003795	10	9	1.204155854	0.047	1.181022332	0.0932	0.566870878	0.373452332	0.009911848	0.239543964	0.067388704	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
antioxidant_GO:0016209	8	7	0.311393092	0.8614	0.355315282	0.7766	0.368330465	0.739509527	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
