GO:0000001	mitochondrion inheritance
GO:0000150	recombinase
GO:0015000	polyferredoxin
GO:0015001	high-potential iron-sulfur carrier
GO:0015002	heme-copper terminal oxidase
GO:0015003	copper electron carrier
GO:0015004	small blue copper electron carrier
GO:0015005	azurin
GO:0015006	plastocyanin
GO:0015007	chlorophyll electron carrier
GO:0015008	ubiquinol-cytochrome c reductase (sensu Eukarya)
GO:0015009	corrin metabolism
GO:0001501	skeletal development
GO:0015010	tetrahydrocorphin metabolism
GO:0015011	nickel-tetrapyrrole coenzyme metabolism
GO:0015012	heparan sulfate proteoglycan biosynthesis
GO:0015013	heparan sulfate proteoglycan biosynthesis, linkage to polypeptide
GO:0015014	heparan sulfate proteoglycan biosynthesis, polysaccharide chain biosynthesis
GO:0015015	heparan sulfate proteoglycan biosynthesis, enzymatic modification
GO:0015016	desulfoheparin sulfotransferase
GO:0015017	glypican
GO:0015018	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase
GO:0015019	heparan-alpha-glucosaminide N-acetyltransferase
GO:0001502	cartilage condensation
GO:0015020	glucuronosyltransferase
GO:0015021	heparitin-sulfate lyase
GO:0015022	heparitin sulfotransferase
GO:0015023	syndecan
GO:0015024	glucuronate-2-sulfatase
GO:0015025	GPI-anchored membrane-bound receptor
GO:0015026	coreceptor
GO:0015027	coreceptor, soluble ligand
GO:0015028	coreceptor, insoluble ligand
GO:0015029	internalization receptor
GO:0001503	ossification
GO:0015030	Cajal body
GO:0015031	protein transport
GO:0015032	storage protein uptake
GO:0015034	cytochrome P450
GO:0015035	protein disulfide oxidoreductase
GO:0015036	disulfide oxidoreductase
GO:0015037	peptide disulfide oxidoreductase
GO:0015038	glutathione disulfide oxidoreductase
GO:0015039	NADPH-adrenodoxin reductase
GO:0001504	neurotransmitter uptake
GO:0015040	electron transfer flavoprotein, group I
GO:0015041	electron transfer flavoprotein, group II
GO:0015042	trypanothione reductase
GO:0015043	leghemoglobin reductase
GO:0015044	NADH:rubredoxin reductase
GO:0015045	NADPH:rubredoxin reductase
GO:0015046	rubredoxin reductase
GO:0015048	phthalate dioxygenase reductase
GO:0015049	methane monooxygenase
GO:0001505	neurotransmitter maintenance
GO:0015050	methane monooxygenase complex
GO:0015051	X-opioid receptor
GO:0015052	beta3-adrenergic receptor
GO:0015053	opsin
GO:0015054	gastrin receptor
GO:0015055	secretin receptor
GO:0015056	corticotrophin-releasing factor receptor
GO:0015057	thrombin receptor
GO:0015058	EGF-like module containing hormone receptor
GO:0015059	blue-sensitive opsin
GO:0001506	neurotransmitter synthesis and storage
GO:0015060	green-sensitive opsin
GO:0015061	red-sensitive opsin
GO:0015062	violet-sensitive-opsin
GO:0015063	long-wave-sensitive opsin
GO:0015064	UV-sensitive opsin
GO:0015065	uridine nucleotide receptor
GO:0015066	alpha-amylase inhibitor
GO:0015067	amidinotransferase
GO:0015068	glycine amidinotransferase
GO:0015069	inosamine-phosphate amidinotransferase
GO:0001507	acetylcholine breakdown in the synaptic cleft
GO:0015070	toxin
GO:0015071	protein phosphatase type 2C
GO:0015072	phosphatidylinositol 3-kinase, class I, catalyst
GO:0015073	phosphatidylinositol 3-kinase, class I, regulator
GO:0015074	DNA integration
GO:0015075	ion transporter
GO:0015076	heavy metal ion transporter
GO:0015077	monovalent inorganic cation transporter
GO:0015078	hydrogen ion transporter
GO:0015079	potassium transporter
GO:0001508	action potential regulation
GO:0015080	silver transporter
GO:0015081	sodium transporter
GO:0015082	di-, tri-valent inorganic cation transporter
GO:0015083	aluminum ion transporter
GO:0015084	aluminum resistance permease
GO:0015085	calcium ion transporter
GO:0015086	cadmium ion transporter
GO:0015087	cobalt ion transporter
GO:0015088	copper uptake transporter
GO:0015089	high affinity copper transporter
GO:0001509	legumain
GO:0015090	low affinity iron transporter
GO:0015091	ferric iron transporter
GO:0015092	high affinity ferric uptake transporter
GO:0015093	ferrous iron transporter
GO:0015094	lead ion transporter
GO:0015095	magnesium ion transporter
GO:0015096	manganese resistance permease
GO:0015097	mercury ion transporter
GO:0015098	molybdate ion transporter
GO:0015099	nickel ion transporter
GO:0000151	ubiquitin ligase complex
GO:0001510	RNA methylation
GO:0015100	vanadium ion transporter
GO:0015101	organic cation transporter
GO:0015103	inorganic anion transporter
GO:0015104	antimonite transporter
GO:0015105	arsenite transporter
GO:0015106	bicarbonate transporter
GO:0015107	chlorate transporter
GO:0015108	chloride transporter
GO:0015109	chromate transporter
GO:0001511	fibrillin
GO:0015110	cyanate transporter
GO:0015111	iodide transporter
GO:0015112	nitrate transporter
GO:0015113	nitrite transporter
GO:0015114	phosphate transporter
GO:0015115	silicate transporter
GO:0015116	sulfate transporter
GO:0015117	thiosulfate transporter
GO:0015118	tellurite transporter
GO:0015119	hexose phosphate transporter
GO:0001512	dihydronicotinamide riboside quinone reductase
GO:0015120	phosphoglycerate transporter
GO:0015121	phosphoenolpyruvate transporter
GO:0015122	triose phosphate transporter
GO:0015123	acetate transporter
GO:0015124	allantoate transporter
GO:0015125	bile acid transporter
GO:0015126	canalicular bile acid transporter
GO:0015127	bilirubin transporter
GO:0015128	gluconate transporter
GO:0015129	lactate transporter
GO:0001513	glutamate phosphate reductase
GO:0015130	mevalonate transporter
GO:0015131	oxaloacetate transporter
GO:0015132	prostaglandin transporter
GO:0015133	uronic acid transporter
GO:0015134	hexuronate transporter
GO:0015135	glucuronate transporter
GO:0015136	sialic acid transporter
GO:0015137	citrate transporter
GO:0015138	fumarate transporter
GO:0015139	alpha-ketoglutarate transporter
GO:0001514	selenocysteine incorporation
GO:0015140	malate transporter
GO:0015141	succinate transporter
GO:0015142	tricarboxylic acid transporter
GO:0015143	urate transporter
GO:0015144	carbohydrate transporter
GO:0015145	monosaccharide transporter
GO:0015146	pentose transporter
GO:0015147	arabinose transporter
GO:0015148	xylose transporter
GO:0015149	hexose transporter
GO:0001515	opioid peptide
GO:0015150	fucose transporter
GO:0015151	alpha-glucoside transporter
GO:0015152	glucose-6-phosphate transporter
GO:0015153	rhamnose transporter
GO:0015154	disaccharide transporter
GO:0015155	lactose transporter
GO:0015156	melibiose transporter
GO:0015157	oligosaccharide transporter
GO:0015158	raffinose transporter
GO:0015159	polysaccharide transporter
GO:0001516	prostaglandin biosynthesis
GO:0015160	beta-glucan transporter
GO:0015161	capsular-polysaccharide transporter
GO:0015162	teichoic acid transporter
GO:0015163	hexuronide transporter
GO:0015164	glucuronide transporter
GO:0015165	pyrimidine nucleotide sugar transporter
GO:0015166	polyol transporter
GO:0015167	arabinitol transporter
GO:0015168	glycerol transporter
GO:0015169	glycerol-3-phosphate transporter
GO:0001517	N-acetylglucosamine-6-O-sulfotransferase
GO:0015170	propanediol transporter
GO:0015171	amino acid transporter
GO:0015172	acidic amino acid transporter
GO:0015173	aromatic amino acid transporter
GO:0015174	basic amino acid transporter
GO:0015175	neutral amino acid transporter
GO:0015176	holin
GO:0015177	S-adenosylmethionine permease
GO:0015178	S-methylmethionine permease
GO:0015179	L-amino acid transporter
GO:0001518	voltage-gated sodium channel
GO:0015180	alanine transporter
GO:0015181	arginine transporter
GO:0015182	asparagine transporter
GO:0015183	aspartate transporter
GO:0015184	cystine transporter
GO:0015185	gamma-amino butyrate transporter
GO:0015186	glutamine transporter
GO:0015187	glycine transporter
GO:0015188	isoleucine transporter
GO:0015189	lysine transporter
GO:0001519	peptide amidation
GO:0015190	leucine transporter
GO:0015191	methionine transporter
GO:0015192	phenylalanine transporter
GO:0015193	proline transporter
GO:0015194	serine transporter
GO:0015195	threonine transporter
GO:0015196	tryptophan transporter
GO:0015197	peptide transporter
GO:0015198	oligopeptide transporter
GO:0015199	betaine transporter
GO:0000152	nuclear ubiquitin ligase complex
GO:0001520	outer dense fiber
GO:0015200	methylammonium transporter
GO:0015202	quaternary-amine transporter
GO:0015203	polyamine transporter
GO:0015204	urea transporter
GO:0015205	nucleobase transporter
GO:0015206	allantoin transporter
GO:0015207	adenine transporter
GO:0015208	guanine transporter
GO:0015209	cytosine transporter
GO:0015210	uracil transporter
GO:0015211	purine nucleoside transporter
GO:0015212	cytidine transporter
GO:0015213	uridine transporter
GO:0015214	pyrimidine nucleoside transporter
GO:0015215	nucleotide transporter
GO:0015216	purine nucleotide transporter
GO:0015217	ADP transporter
GO:0015218	pyrimidine nucleotide transporter
GO:0015219	DNA-protein complex transporter
GO:0001522	pseudouridine synthesis
GO:0015220	choline transporter
GO:0015221	lipopolysaccharide transporter
GO:0015222	serotonin transporter
GO:0015223	vitamin/cofactor transporter
GO:0015224	biopterin transporter
GO:0015225	biotin transporter
GO:0015226	carnitine transporter
GO:0015227	acyl carnitine transporter
GO:0015228	coenzyme A transporter
GO:0015229	L-ascorbate transporter
GO:0001523	retinoid metabolism
GO:0015230	flavin adenine dinucleotide transporter
GO:0015231	5-formyltetrahydrofolate transporter
GO:0015232	heme transporter
GO:0015233	pantothenate transporter
GO:0015234	thiamin transporter
GO:0015235	vitamin B12 transporter
GO:0015238	drug transporter
GO:0015239	multidrug transporter
GO:0001524	globin
GO:0015240	amiloride transporter
GO:0015241	aminotriazole transporter
GO:0015242	benomyl transporter
GO:0015243	cycloheximide transporter
GO:0015244	fluconazole transporter
GO:0015245	fatty acid transporter
GO:0015246	fatty acyl transporter
GO:0015247	aminophospholipid transporter
GO:0015248	sterol transporter
GO:0015249	non-selective channel
GO:0001525	angiogenesis
GO:0015250	water channel
GO:0015251	ammonium channel
GO:0015252	hydrogen ion channel
GO:0015253	sugar/polyol channel
GO:0015254	glycerol channel
GO:0015255	propanediol channel
GO:0015256	monocarboxylate channel
GO:0015257	organic anion channel
GO:0015258	gluconate channel
GO:0015259	glutamate channel
GO:0001526	proteoglycan sulfate transfer
GO:0015260	isethionate channel
GO:0015261	lactate channel
GO:0015262	taurine channel
GO:0015263	amine/amide/polyamine channel
GO:0015264	methylammonium channel
GO:0015265	urea channel
GO:0015266	protein channel
GO:0015267	channel/pore class transporter
GO:0015268	alpha-type channel
GO:0015269	calcium-activated potassium channel
GO:0001527	microfibril
GO:0015270	dihydropyridine-sensitive calcium channel
GO:0015271	outward rectifier potassium channel
GO:0015272	ATP-activated inward rectifier potassium channel
GO:0015273	G-protein enhanced inward rectifier potassium channel
GO:0015274	organellar voltage-gated chloride channel
GO:0015275	stretch-activated, cation-selective, calcium channel
GO:0015276	ligand-gated ion channel
GO:0015277	kainate selective glutamate receptor
GO:0015278	calcium-release channel
GO:0015279	store-operated calcium channel
GO:0001528	elastin
GO:0015280	amiloride-sensitive sodium channel
GO:0015281	non-selective cation channel
GO:0015282	NADPH oxidase-associated cytochrome b558 hydrogen channel
GO:0015283	apoptogenic cytochrome c release channel
GO:0015284	fructose uniporter
GO:0015285	connexon channel
GO:0015286	innexin channel
GO:0015288	porin
GO:0015289	pore-forming toxin
GO:0001529	elastin
GO:0015290	electrochemical potential-driven transporter
GO:0015291	porter
GO:0015292	uniporter
GO:0015293	symporter
GO:0015294	solute:cation symporter
GO:0015295	solute:hydrogen symporter
GO:0015296	anion:cation symporter
GO:0015297	antiporter
GO:0015298	solute:cation antiporter
GO:0015299	solute:hydrogen antiporter
GO:0000153	cytoplasmic ubiquitin ligase complex
GO:0001530	lipopolysaccharide binding
GO:0015300	solute:solute antiporter
GO:0015301	anion:anion antiporter
GO:0015302	uncoupling protein
GO:0015303	galactose, glucose uniporter
GO:0015304	glucose uniporter
GO:0015305	lactose,galactose:hydrogen symporter
GO:0015306	sialate transporter
GO:0015307	drug:hydrogen antiporter
GO:0015308	amiloride:hydrogen antiporter
GO:0015309	cycloheximide:hydrogen antiporter
GO:0001531	interleukin-21 receptor ligand
GO:0015310	benomyl:hydrogen antiporter
GO:0015311	monoamine:hydrogen antiporter
GO:0015312	polyamine:hydrogen antiporter
GO:0015313	fluconazole:hydrogen antiporter
GO:0015314	aminotriazole:hydrogen antiporter
GO:0015315	organophosphate:inorganic phosphate antiporter
GO:0015316	nitrite/nitrate porter
GO:0015317	phosphate:hydrogen symporter
GO:0015318	inorganic uptake permease
GO:0015319	sodium:inorganic phosphate symporter
GO:0001532	interleukin-21 receptor
GO:0015320	phosphate carrier
GO:0015321	sodium-dependent phosphate transporter
GO:0015322	oligopeptide porter
GO:0015323	type V protein secretor
GO:0015324	peptide-acetyl-CoA transporter
GO:0015325	acetyl-CoA:CoA antiporter
GO:0015326	cationic amino acid transporter
GO:0015327	cystine/glutamate antiporter
GO:0015328	cystine porter
GO:0015329	gamma-aminobutyric acid permease
GO:0001533	cornified envelope
GO:0015330	high affinity glutamine permease
GO:0015331	asparagine/glutamine permease
GO:0015332	leucine/valine/isoleucine permease
GO:0015333	peptide:hydrogen symporter
GO:0015334	high affinity oligopeptide transporter
GO:0015335	heavy metal ion:hydrogen symporter
GO:0015336	high affinity metal ion uptake transporter
GO:0015337	low affinity metal ion uptake transporter
GO:0015338	cation diffusion facilitator
GO:0015339	cobalt, zinc uptake permease
GO:0001534	radial spoke
GO:0015340	zinc, cadmium uptake permease
GO:0015341	zinc efflux permease
GO:0015342	zinc, iron permease
GO:0015343	siderochrome-iron transporter
GO:0015344	siderochrome-iron (ferrioxamine) uptake transporter
GO:0015345	ferric-enterobactin:hydrogen symporter
GO:0015346	ferric triacetylfusarinine C:hydrogen symporter
GO:0015347	sodium-independent organic anion transporter
GO:0015348	prostaglandin/thromboxane transporter
GO:0015349	thyroid hormone transporter
GO:0001535	radial spokehead
GO:0015350	methotrexate transporter
GO:0015351	bilirubin porter
GO:0015352	sterol porter
GO:0015353	multidrug endosomal transporter
GO:0015354	polyspecific organic cation transporter
GO:0015355	monocarboxylate porter
GO:0015356	monocarboxylate (lactate, pyruvate, mevalonate) uptake/efflux porter
GO:0015358	amino acid/choline transporter
GO:0015359	amino acid permease
GO:0001536	radial spoke stalk
GO:0015360	acetate:hydrogen symporter
GO:0015361	low affinity sodium:dicarboxylate cotransporter
GO:0015362	high affinity sodium:dicarboxylate cotransporter
GO:0015363	dicarboxylate (succinate/fumarate/malate) antiporter
GO:0015364	dicarboxylate:inorganic phosphate antiporter
GO:0015365	dicarboxylic acid permease
GO:0015366	malate:hydrogen symporter
GO:0015367	oxoglutarate/malate antiporter
GO:0015368	calcium:cation antiporter
GO:0015369	calcium:hydrogen antiporter
GO:0001537	N-acetylgalactosamine-4-O-sulfotransferase
GO:0015370	solute:sodium symporter
GO:0015371	galactose:sodium symporter
GO:0015372	glutamate/aspartate:sodium symporter
GO:0015373	monovalent anion:sodium symporter
GO:0015374	neutral,cationic amino acid:sodium:chloride symporter
GO:0015375	glycine:sodium symporter
GO:0015376	betaine/GABA:sodium symporter
GO:0015377	cation:chloride cotransporter
GO:0015378	sodium:chloride symporter
GO:0015379	potassium:chloride symporter
GO:0015380	anion exchanger
GO:0015381	high affinity sulfate permease
GO:0015382	sodium:sulfate cotransporter
GO:0015383	sulfate:bicarbonate antiporter
GO:0015384	bicarbonate:chloride antiporter
GO:0015385	sodium:hydrogen antiporter
GO:0015386	potassium:hydrogen antiporter
GO:0015387	potassium:hydrogen symporter
GO:0015388	potassium uptake permease
GO:0015389	pyrimidine- and adenine-specific:sodium symporter
GO:0001539	ciliary/flagellar motility
GO:0015390	purine-specific nucleoside:sodium symporter
GO:0015391	nucleobase:cation symporter
GO:0015392	cytosine-purine permease
GO:0015393	uracil/uridine permease
GO:0015394	nucleoside (uridine) permease
GO:0015395	equilibrative nucleoside transporter
GO:0015396	equilibrative nucleoside transporter, nitrobenzyl-thioinosine-sensitive
GO:0015397	equilibrative nucleoside transporter, nitrobenzyl-thioinosine-insensitive
GO:0015398	high affinity ammonium transporter
GO:0015399	primary active transporter
GO:0000154	rRNA modification
GO:0001540	beta-amyloid binding
GO:0015400	low affinity ammonium transporter
GO:0015401	urea active transporter
GO:0015402	thiamin permease
GO:0015403	thiamin uptake transporter
GO:0015404	ion-gradient-driven energizer
GO:0015405	P-P-bond-hydrolysis-driven transporter
GO:0015406	ABC-type uptake permease
GO:0015407	monosaccharide-transporting ATPase
GO:0015408	ferric-transporting ATPase
GO:0001541	ovarian follicle development
GO:0015410	manganese-transporting ATPase
GO:0015411	taurine (2-aminoethane sulfonate) porter
GO:0015412	molybdate porter
GO:0015413	nickel porter
GO:0015414	nitrate-transporting ATPase
GO:0015415	phosphate porter
GO:0015416	phosphonate/organophosphate ester porter (broad specificity)
GO:0015417	polyamine porter
GO:0015418	quaternary amine uptake transporter
GO:0015419	sulfate/thiosulfate porter
GO:0001542	ovulation
GO:0015420	vitamin B12 porter
GO:0015421	oligopeptide-transporting ATPase
GO:0015422	oligosaccharide-transporting ATPase
GO:0015423	maltose-transporting ATPase
GO:0015424	amino acid-transporting ATPase
GO:0015425	nonpolar-amino acid-transporting ATPase
GO:0015426	polar amino acid uptake transporter
GO:0015427	ABC-type efflux porter
GO:0015428	type I protein secretor
GO:0015429	peroxisomal fatty acyl transporter
GO:0001543	ovarian follicle rupture
GO:0015430	glycerol-3-phosphate-transporting ATPase
GO:0015431	conjugate transporter
GO:0015432	bile acid porter
GO:0015433	major histocompatibility peptide transporter
GO:0015434	cadmium-transporting ATPase
GO:0015435	ABC-type efflux permease
GO:0015436	capsular-polysaccharide-transporting ATPase
GO:0015437	lipopolysaccharide-transporting ATPase
GO:0015438	teichoic acid-transporting ATPase
GO:0015439	heme-transporting ATPase
GO:0001544	initiation of primordial ovarian follicle growth
GO:0015440	peptide-transporting ATPase
GO:0015441	beta-glucan-transporting ATPase
GO:0015442	hydrogen-/sodium-translocating ATPase
GO:0015443	sodium-transporting two-sector ATPase
GO:0015444	magnesium-importing ATPase
GO:0015445	silver-exporting ATPase
GO:0015446	arsenite-transporting ATPase
GO:0015447	type II protein secretor
GO:0015448	type III protein (virulence-related) secretor
GO:0015449	type IV protein (DNA-protein) secretor
GO:0001545	primary ovarian follicle growth
GO:0015450	protein translocase
GO:0015451	decarboxylation-driven active transporter
GO:0015452	methyl transfer-driven active transporter
GO:0015453	oxidoreduction-driven active transporter
GO:0015454	light-driven active transporter
GO:0015455	group translocator
GO:0015456	phosphotransfer-driven group translocator
GO:0015457	auxiliary transport protein
GO:0015458	low voltage-dependent potassium channel auxiliary protein
GO:0015459	potassium channel regulator
GO:0001546	preantral ovarian follicle growth
GO:0015460	transport accessory protein
GO:0015461	endosomal oligosaccharide transporter
GO:0015462	protein-transporting ATPase
GO:0015463	enzyme transporter
GO:0015464	acetylcholine receptor
GO:0015465	lysin
GO:0015466	autolysin
GO:0015467	G-protein activated inward rectifier potassium channel
GO:0015468	colicin
GO:0015469	channel-forming toxin
GO:0001547	antral ovarian follicle growth
GO:0015470	bacteriocin
GO:0015471	nucleoside-specific channel forming porin
GO:0015472	fimbrial chaperone
GO:0015473	fimbrial usher porin
GO:0015474	autotransporter
GO:0015475	adhesin autotransporter
GO:0015476	hemaglutinin autotransporter
GO:0015477	receptor porin
GO:0015478	oligosaccharide transporting porin
GO:0015479	outer membrane exporter porin
GO:0001548	ovarian follicle antrum/follicular fluid formation
GO:0015480	secretin (sensu Bacteria)
GO:0015481	maltose transporting porin
GO:0015482	voltage-dependent anion channel porin
GO:0015483	long-chain fatty acid transporting porin
GO:0015484	hemolysin
GO:0015485	cholesterol binding
GO:0015486	glycoside-pentoside-hexuronide:cation symporter
GO:0015487	melibiose permease
GO:0015488	glucuronide permease
GO:0015489	putrescine transporter
GO:0001549	ovarian cumulus cell differentiation
GO:0015490	cadaverine transporter
GO:0015491	cation:cation antiporter
GO:0015492	phenylalanine:hydrogen symporter
GO:0015493	lysine:hydrogen symporter
GO:0015494	aromatic amino acid:hydrogen symporter
GO:0015495	gamma-aminobutyric acid:hydrogen symporter
GO:0015496	putrescine:ornithine antiporter
GO:0015497	cadaverine:lysine antiporter
GO:0015498	pantothenate:sodium symporter
GO:0015499	formate transporter
GO:0000155	two-component sensor molecule
GO:0001550	ovarian cumulus expansion
GO:0015500	threonine/serine:sodium symporter
GO:0015501	glutamate:sodium symporter
GO:0015502	pH dependent sodium:hydrogen antiporter
GO:0015503	glutathione-regulated potassium exporter
GO:0015504	cytosine permease
GO:0015505	uracil permease
GO:0015506	nucleoside:hydrogen symporter
GO:0015507	hydroxy/aromatic amino acid permease
GO:0015508	tyrosine permease
GO:0001551	ovarian follicle endowment
GO:0015510	low-affinity tryptophan permease
GO:0015511	serine permease
GO:0015512	threonine permease
GO:0015513	nitrite uptake permease
GO:0015514	nitrite extrusion permease
GO:0015515	citrate:succinate antiporter
GO:0015516	tartrate:succinate antiporter
GO:0015517	galactose:hydrogen symporter
GO:0015518	arabinose:hydrogen symporter
GO:0015519	xylose:hydrogen symporter
GO:0001552	ovarian follicle atresia
GO:0015520	tetracycline:hydrogen antiporter
GO:0015521	bicyclomycin/sulfathiazole:hydrogen antiporter
GO:0015522	hydrophobic uncoupler:hydrogen antiporter
GO:0015523	arabinose efflux permease
GO:0015524	arabinose/beta-D-thiogalactopyranoside:hydrogen antiporter
GO:0015525	carbonyl cyanide m-chlorophenylhydrazone/nalidixic acid/organomercurials:hydrogen antiporter
GO:0015526	hexose-phosphate:inorganic phosphate antiporter
GO:0015527	glycerol-phosphate:inorganic phosphate antiporter
GO:0015528	lactose:hydrogen symporter
GO:0015529	raffinose:hydrogen symporter
GO:0001553	luteinization
GO:0015530	shikimate transporter
GO:0015531	citrate:hydrogen symporter
GO:0015532	alpha-ketoglutarate:hydrogen symporter
GO:0015533	shikimate:hydrogen symporter
GO:0015534	proline/glycine/betaine:hydrogen/sodium symporter
GO:0015535	fucose:hydrogen symporter
GO:0015536	nucleoside permease
GO:0015537	xanthosine permease
GO:0015538	sialic acid permease
GO:0015539	hexuronate (glucuronate/galacturonate) porter
GO:0001554	luteolysis
GO:0015540	3-hydroxyphenyl propionate porter
GO:0015541	cyanate porter
GO:0015542	sugar efflux transporter
GO:0015543	lactose/glucose efflux transporter
GO:0015544	phenyl proprionate permease
GO:0015545	bicyclomycin transporter
GO:0015546	sulfathiazole transporter
GO:0015547	nalidixic acid transporter
GO:0015548	organomercurial transporter
GO:0015549	carbonyl cyanide m-chlorophenylhydrazone transporter
GO:0001555	oocyte growth
GO:0015550	galacturonate transporter
GO:0015551	3-hydroxyphenyl proprionate transporter
GO:0015552	proprionate transporter
GO:0015553	xanthosine transporter
GO:0015554	tartrate transporter
GO:0015555	acriflavin resistant pump
GO:0015556	C4-dicarboxylate transporter
GO:0015557	arginine targeting transporter
GO:0015558	p-aminobenzoyl-glutamate uptake permease
GO:0015559	multidrug efflux pump
GO:0001556	oocyte maturation
GO:0015560	L-idonate/D-gluconate:hydrogen symporter
GO:0015561	rhamnose:hydrogen symporter
GO:0015562	efflux permease
GO:0015563	uptake permease
GO:0015564	multidrug, alkane resistant pump
GO:0015565	threonine efflux permease
GO:0015566	acriflavin transporter
GO:0015567	alkane transporter
GO:0015568	L-idonate transporter
GO:0015569	p-aminobenzoyl-glutamate transporter
GO:0001557	metabolism resulting in cell growth
GO:0015570	energizer of outer membrane receptor-mediated transport
GO:0015571	N-acetyl galactosamine transporter
GO:0015572	N-acetyl glucosamine transporter
GO:0015573	beta-glucoside transporter
GO:0015574	trehalose transporter
GO:0015575	mannitol transporter
GO:0015576	glucitol transporter
GO:0015577	galactitol transporter
GO:0015578	mannose transporter
GO:0015579	glucose permease
GO:0001558	regulation of cell growth
GO:0015580	N-acetyl glucosamine permease
GO:0015581	maltose permease
GO:0015582	beta-glucoside permease
GO:0015583	beta-glucoside [arbutin-salicin-cellobiose] permease
GO:0015584	trehalose permease
GO:0015585	fructose permease
GO:0015586	mannitol permease
GO:0015587	glucitol permease
GO:0015588	galactitol permease
GO:0015589	mannose permease
GO:0001559	interpretation of nuclear/cytoplasmic ratio to control cell growth
GO:0015590	N-acetyl galactosamine permease
GO:0015591	ribose transporter
GO:0015592	methylgalactoside transporter
GO:0015593	allose transporter
GO:0015594	putrescine porter
GO:0015595	spermidine porter
GO:0015596	glycine betaine/proline porter
GO:0015597	histidine/arginine/lysine/ornithine porter
GO:0015598	arginine porter
GO:0015599	glutamine porter
GO:0000156	two-component response regulator
GO:0001560	interpretation of external signals that control cell growth
GO:0015600	glutamate/aspartate porter
GO:0015601	cystine/diaminopimelate porter
GO:0015602	leucine/isoleucine/valine porter
GO:0015603	iron chelate transporter
GO:0015604	phosphonate transporter
GO:0015605	organophosphate ester transporter
GO:0015606	spermidine transporter
GO:0015607	fatty acyl CoA transporter
GO:0015608	carbohydrate uptake transporter
GO:0015609	malto-oligosaccharide porter
GO:0001561	fatty acid alpha-oxidation
GO:0015610	glycerol-phosphate porter
GO:0015611	ribose porter
GO:0015612	arabinose porter
GO:0015613	galactose/glucose (methylgalactoside) porter
GO:0015614	xylose porter
GO:0015615	D-allose porter
GO:0015616	DNA translocase
GO:0015617	pilin/fimbrilin exporter
GO:0015618	potassium-uptake-ATPase
GO:0015619	thiamin, thiamin pyrophosphate porter
GO:0001562	response to protozoa
GO:0015620	ferric-enterobactin transporter
GO:0015621	ferric triacetylfusarinine C transporter
GO:0015622	ferric-hydroxamate transporter
GO:0015623	ferric/ferric-dicitrate porter
GO:0015624	ferric-enterobactin porter
GO:0015625	ferric-hydroxamate porter
GO:0015626	diaminopimelate transporter
GO:0015627	type II protein (Sec) secretion system complex
GO:0015628	type II protein (Sec) secretion system
