Probe	Score	Symbol	Name	M1_melanoma_KB_1stBUSAM_28_U95Av2_Signal	M2_melanoma_KB_1stBUSAM_31_U95Av2_Signal	M3_melanoma_KB_1stBUSAM_32B_U95Av2_Signal	M4_melanoma_KB_1stBUSAM_42_U95Av2_Signal	M5_melanoma_KB_1stBUSAM_44_U95Av2_Signal	M6_melanoma_KB_1stBUSAM_45_U95Av2_Signal	M7_melanoma_KB_1stBUSAM_46_U95Av2_Signal	M8_melanoma_KB_1stBUSAM_48_U95Av2_Signal	M9_melanoma_KB_1stBUSAM_22_U95Av2_Signal	M10_melanoma_cell_line_UW_1stG_MEL_S2_U95Av2_Signal	M11_melanoma_cell_line_UW_1stMeL-22a_Signal	M12_melanoma_cell_line_UW_1stSK-MEL_28_S2_U95Av2_Signal	M13_melanoma_cell_line_UW_1stSK-MEL_37_S2_U95Av2_Signal	M14_melanoma_cell_line_UW_1stSK-MEL-118_U95Av2_Signal	M15_melanoma_cell_line_UW_1stSK-MEL-127_U95Av2_Signal	M16_melanoma_cell_line_UW_1stSK-MEL-130_U95Av2_Signal	M17_melanoma_cell_line_UW_1stSK-MEL-19_U95Av2_Signal	M18_melanoma_cell_line_UW_1stSK-MEL-29_U95Av2_Signal	M19_melanoma_cell_line_UW_1stSK-MEL-75_U95Av2_Signal	M20_melanoma_cell_line_UW_1stSK-MEL-90_U95Av2_Signal	M21_melanoma_cell_line_UW_U95Av2_SK-MEL-131_Signal	M22_melanoma_cell_line_UW_U95Av2_SK-MEL-176_Signal	M23_melanoma_cell_line_UW_U95Av2_SK-MEL-187_Signal	M24_melanoma_cell_line_UW_U95Av2_SK-MEL-21_Signal	M25_melanoma_cell_line_UW_U95Av2_SK-MEL-30_Signal	M26_melanoma_cell_line_UW_U95Av2_SK-MEL-31_Signal	M27_melanoma_cell_line_UW_U95Av2_SK-MEL-64_Signal	M28_melanoma_cell_line_UW_U95Av2_SK-MEL-85_Signal	M29_melanoma_cell_line_UW_U95Av2_SK-MEL-94_Signal	S5_Fibrosarcoma	S6_Fibrosarcoma: classic conventional type	S7_Fibrosarcoma: classic conventional type	S8_Fibrosarcoma: classic conventional type	S9_Fibrosarcoma: classic conventional type	S10_Fibrosarcoma	S11_Fibrosarcoma: classic conventional type	S12_Fibrosarcoma: classic conventional type	S13_GIST	S14_GIST	S15_GIST	S17_GIST	"S18_GIST, no kit staining was done but positive on GeneChip"	S20_Leiomyosarcoma	S21_Leiomyosarcoma	S22_Leiomyosarcoma	S23_Leiomyosarcoma	S24_Leiomyosarcoma	S26_Leiomyosarcoma	S28_Lipo dediff	S29_Lipo dediff	S30_Lipo dediff	S31_Lipo dediff	S32_Lipo dediff	S33_Lipo pleo	S34_Lipo pleo 	S35_Lipo pleo (undiff portion according to path report)	S36_MFH	S37_MFH	S38_MFH	S39_MFH	S40_MFH	S41_MFH	S42_MFH	S43_MFH	S44_MFH	S45_MFH	S46_MFH	S47_Round cell liposarcoma	S48_Round cell liposarcoma	S50_Round cell liposarcoma	S51_Round cell liposarcoma	S55_synovial sarcoma	S56_synovial sarcoma	S57_synovial sarcoma	S58_synovial sarcoma	S59_synovial sarcoma
197_at	0.001611	NME3	non-metastatic cells 3, protein expressed in	-0.88262492	-0.56028828	-0.01409134	-0.07160522	1.925384	0.01212279	-0.19375287	0.40528842	-0.61872682	-1.00241468	-0.9451782	-0.6718948	-0.21358684	-1.20787424	-1.34407673	-0.5964425	-0.5023583	-0.72330592	-0.58899899	-0.1489993	0.27047292	2.65850105	-0.88891261	-0.37549488	-1.08831564	-1.25558672	1.33036498	0.15086809	-0.02860851	-1.48240593	-0.59551784	-0.24021706	2.97626062	0.30061685	-1.48457888	-0.67517734	0.13736805	0.7615601	1.04875964	0.96364464	1.75358208	0.65536284	-0.02601946	0.02455947	0.19058226	-0.51872479	-0.12199922	0.89115126	-0.08589122	-0.21062792	-0.5724938	-0.48950552	-0.13193932	-0.12102832	-0.21571355	-0.81706649	-0.39671584	-0.85359058	-0.87860264	-0.31705634	-0.15819967	-0.34585952	-0.13217048	-0.71008327	0.31125045	0.02044473	-1.22830923	0.49830926	0.04101843	0.74288195	0.18836307	1.63453205	0.2679301	3.91335777	1.845031	0.81306368
33815_at	0.002637	UMPS	uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5'-decarboxylase)	-0.28901793	0.1729164	-0.30840569	1.46948756	1.83014797	-0.14812555	0.67410793	1.13411553	0.46108347	-0.57465616	1.4234868	1.26850518	0.36029122	-1.00660571	1.0553603	-0.899672	0.90664057	1.24068797	1.5927985	0.4803508	-1.22516953	-1.66831821	0.07079953	-1.0349046	-0.06756401	-1.70263815	-1.38051241	0.51671789	0.88400145	-0.4396644	-0.15258112	-0.61716472	-0.53889117	-0.41714571	-0.20941976	-1.40459658	-1.26129578	-0.39739669	0.08464793	-1.47395898	-0.65630149	-1.48551938	0.27226359	0.17917828	0.04671536	1.54667732	0.44386329	-1.70829793	-1.12148719	-0.99576783	-0.01168874	-0.726266	-0.08177367	0.24468722	-0.01313379	-1.11847667	1.02730225	1.00237513	-0.23097509	0.88628944	3.46847347	-1.22613289	-0.4078733	0.29574566	0.39593579	-0.28962004	-0.83199549	1.54583437	0.88628944	0.84462384	-0.14595798	0.65592438	0.23999081	0.53718944	-1.44168619	-0.43484757
36859_at	0.007349	NME5	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	-0.74967844	-0.68098586	-0.95860924	-0.76482154	0.06717077	-0.11893566	-0.08513803	-0.93951578	0.06848756	-0.07504264	-0.84975454	-0.49729354	-0.93337075	0.02525293	-0.37878237	0.22255208	0.00242855	-0.92656734	-0.96782678	0.66257966	-0.60987915	0.78087137	-0.88684415	2.29957006	-0.32150198	0.56908752	-0.92568948	-0.26400211	1.55316916	-0.24973688	-0.29538563	0.19358268	1.94469495	1.73598361	-0.70249344	-0.39502279	-0.09830594	0.26293366	2.65444517	-0.94544134	4.02390758	1.6661937	1.12060339	-0.76964977	-0.83900075	-0.36232249	-1.09687228	0.81576632	-0.31842946	1.05651957	-0.31821	-0.84031754	-0.32918325	0.16746633	-0.04409805	-0.99942976	0.01296288	-1.0551739	-0.8411954	0.83551818	0.2098231	-0.84339005	-1.02664343	-0.36824805	-0.61909669	-1.12540274	-0.83307519	-0.5409671	-0.14746613	-0.37592933	0.00133123	1.3993241	1.81959982	0.66367699	0.56601501	0.91320884
32031_at	0.02781	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	-0.4216675	-0.71893544	1.09308155	-1.01409544	-0.18045169	-0.48040247	-0.47412655	1.30636711	-1.01634711	-0.10787136	1.05408459	1.7027084	-0.37332852	-0.00750451	0.14666282	-0.15261725	0.0704894	0.94629203	1.59333487	-0.83635748	2.92680078	-0.4799713	-0.36446558	0.85057223	1.44539556	0.26753422	0.28803876	2.79716225	2.07270039	-0.30563479	-1.21391891	0.63632851	0.32138259	-0.08775008	1.99250272	-0.65172079	-0.56357042	-0.74892573	-1.72763432	-1.00556785	-0.57856557	-0.89284078	-0.93308334	-1.03536651	0.22460882	-0.43081789	0.62291433	-0.83003365	-0.82356609	-0.67538725	0.44474519	-0.60611256	-0.30362266	-1.21885341	-0.84881351	-0.46200587	-1.17755688	-0.63777962	-0.48083364	-1.37795524	-1.14665635	-0.38041888	-0.04051299	-0.30208961	-0.81278684	0.69353044	-0.07002419	-0.62771898	0.40622732	0.50031825	-0.039986	2.6796444	0.41480281	0.65611444	0.45379977	1.05810885
1505_at	0.04375	TYMS	thymidylate synthetase	-1.00524025	0.91779734	-0.6928766	-0.04018569	-0.27037058	-0.24751833	-1.32207015	-0.23913173	-0.0921181	0.70622177	1.24671088	2.81254877	0.7028969	-0.64866085	0.33683916	-0.12236445	1.13078722	-0.15313186	-0.25486281	0.30552587	1.40972854	-0.4507073	-0.54047867	1.06999677	2.91281579	-0.63962913	1.49577804	0.53511527	1.86595465	-0.89996112	-0.26927883	1.25537042	2.51410489	-1.0204999	2.72235559	0.37378486	-0.05246784	-1.0895777	-1.16317136	-0.65029847	-0.99871459	-0.9476258	0.15642799	-0.10663337	0.197567	-0.82877427	1.67403052	-0.62531236	-0.94789873	-1.58855562	-0.2538455	-0.58789522	-0.20270709	0.36041096	0.32103364	0.55781864	-0.51450006	0.09598492	-0.64972779	0.31076129	-0.43070849	-0.79485568	-1.45516401	0.3115801	-1.03345199	-1.07518649	0.81360996	-0.41966696	-0.37187822	-0.62613117	-0.58953284	-0.04802641	-0.59888712	-0.35140797	-0.32942416	-0.87244414
37899_at	0.0576	TYMS	thymidylate synthetase	-0.60395583	0.48890345	-0.02787854	-0.09667215	0.12575436	0.02975685	-1.57186158	0.08905214	-0.81752954	2.03989495	1.99941185	2.28334685	0.88847811	-0.14499366	0.6638384	0.63810996	-0.10653933	1.34190728	0.54451008	0.0622171	0.47396436	-1.34325655	-0.49467912	-0.40283136	0.46188398	-1.09039855	-0.46065119	-0.34224503	0.76647551	-0.74375624	-0.48370534	0.4181733	2.70440798	-0.99596872	2.95053417	0.01389559	0.24056407	-1.21793415	-1.15578014	-0.61446853	-0.962033	-1.68906891	0.03990068	0.38792624	0.16402426	-0.53986527	1.14188941	-0.23407493	-0.76551936	-1.62138191	0.18071547	0.00153856	-0.17385747	1.13524981	-0.10165185	0.2363221	-0.3969295	0.45293896	-0.34777803	0.87058808	0.0394396	-0.92284094	-1.62516279	0.85666337	-1.27787496	-0.70908279	2.72976755	-0.60930439	0.00098526	-0.74679939	-0.49135932	-0.52621721	-0.51349132	-0.24320437	0.58075121	-0.83117761
198_g_at	0.06877	NME3	non-metastatic cells 3, protein expressed in	0.0790081	-0.47497602	-0.18300467	-0.12778934	1.71322796	0.12300976	0.45234612	0.06802328	-0.55251466	-1.11307302	-0.98922341	-1.08775386	-0.2514101	-1.02548578	-1.1548694	-1.07071491	-1.02251072	-1.07167193	-0.77422897	-0.89984697	-0.16009884	1.56297735	-1.28720728	-0.49224382	-0.81567168	-0.91382764	0.74656437	-0.2723603	-0.51768781	-1.25928755	-0.56210557	0.12993769	3.18182263	0.26302453	-1.4110985	-0.68445725	-0.03783038	0.38625	0.67595365	0.49757526	1.6455923	0.55901116	0.33303191	0.14853697	0.09238544	-0.19993959	-0.22446818	0.65650138	-0.28503029	0.24918949	-0.25197183	0.44310889	-0.56258407	0.47930885	-0.18235973	-0.53206377	-0.02355844	-1.16138124	-0.78473528	0.18155383	-0.22808818	-0.35641077	0.4189964	-0.64904787	-0.00034054	0.24274007	-0.85336956	0.82653714	-0.18227651	1.59876121	0.58258274	1.01644126	0.30577792	4.32775921	2.5408338	0.16220558
38186_g_at	0.1084	PAX2	paired box gene 2	-0.1238509	-1.02389963	0.3179912	-0.04560803	-0.86178858	-0.84388988	0.05309049	-0.09316742	-0.61938909	-0.66541431	-0.75593057	-0.5012577	0.15536876	-0.79888744	-0.16578499	2.38759187	-0.6603004	-0.67001683	-0.91701884	0.84574704	-0.55853352	-0.06299534	-0.34068082	0.26992041	-0.54523735	1.05541748	1.40265219	1.84756263	0.72914982	-0.48847291	-0.66388014	2.39679691	0.72045617	-0.37903517	0.15127763	1.40674332	-0.80962666	-0.36522761	-0.57234109	-0.84798101	-0.68893831	-0.73496353	2.72459875	-0.77434066	0.36606198	-0.67308518	-0.30795178	-0.81167223	1.61436819	-0.22715195	0.43970233	3.98262139	0.38191511	0.42180363	-0.9073024	-0.74723692	-0.86587971	-0.20107099	-0.7722951	-0.59484231	-0.47824509	-0.82292284	-0.624503	0.80125599	-0.83212788	-0.61836631	-0.66490292	0.1410498	1.13212618	-0.51199691	0.48112503	-0.40562752	-0.85667466	2.0792229	-0.13152177	0.32821902
683_at	0.138	OTC	ornithine carbamoyltransferase	-0.92028991	-0.69304009	-1.11175525	-1.27813458	-0.85831269	-0.60081208	3.52288666	-0.82142148	-0.57129912	-0.09946063	-0.19427102	-0.59306493	0.06175393	-1.15012211	-1.43123308	-1.33826725	0.4745665	1.42082588	-1.05973866	1.072204	1.37618752	0.6922246	-0.97784019	1.86204467	-1.05568063	0.33179754	0.35134988	0.34397164	0.98145164	0.39156129	-0.13044924	0.70735	-0.51448667	0.92058115	-0.18025236	-0.42742343	-0.26473322	-0.2702669	0.58966706	-0.03268755	0.12336224	0.56126083	0.56531886	0.01305754	1.48723004	-1.2449325	0.47087738	-0.19500884	-1.10622157	1.4890746	0.83425574	-0.89963083	-0.00797044	-1.19697394	0.85823502	-1.37995431	0.32847734	1.76206951	-0.00169894	-1.40983618	-0.89040803	1.83290062	1.82330891	-0.06109377	-1.22279778	-1.23165167	-0.95127852	0.08056845	-0.15959329	0.77043396	-0.10868343	0.13332287	-0.68824424	1.15963615	-0.96160806	0.89881534
1136_at	0.2402	DTYMK	deoxythymidylate kinase (thymidylate kinase)	-0.76542486	-1.01149752	0.10726911	1.19606612	-1.17218951	3.83964904	0.55502601	0.58594894	0.18049509	0.46213805	-0.60348165	2.82151599	1.9782554	-0.64822755	0.73246047	0.09737854	2.04731066	0.26956981	0.01551321	-0.30104466	-1.03461524	-0.91372385	-0.51130868	0.83237908	-0.04722638	-0.56523017	-0.03828912	-0.03578668	-0.46572863	0.0152153	1.27924225	-0.57047336	-0.02571737	-0.92671268	3.10309937	0.23495281	-0.64572512	-0.69547588	-0.21351906	-0.87022917	-1.30517599	-0.68588322	0.60739837	-0.41830156	0.77929173	0.23411867	0.82767212	0.44444227	-0.93880777	-1.14764183	1.53526505	0.18406999	-0.46000878	1.48217771	-0.24253538	-1.2153267	-0.5357372	-0.02881562	0.28380985	-0.29741017	-0.98957143	-0.77156179	0.22238106	-1.06238034	-1.02091143	-0.99803204	-0.13361993	0.18317627	-0.48056449	-0.79890981	-0.6493596	0.01235537	-0.5363926	0.03034906	-0.13576487	-0.2656531
