class	size	virtual_size	pval (mean)	raw score (mean)	pval  (median)	virtual_size (median)	hyper pval	aroc rate	log-1	log-2	log-3	log-4	log-5	log-6	log-7	log-8	log-9	log-10
acetylglucosaminyltransferase(GO:0008375)	13	8	0.6374	0.28582118	0.8645	8	0.993994913	0.378106643	0.211059741	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
acetyltransferase(GO:0016407)	31	24	0.4089	0.321490726	0.8145	24	0.982071285	0.484492174	0.123715852	0.157263553	0.159686681	0.943706105	0.982071285	0.992791193	0.992791193	0.996389349	0.996389349	0.996389349
acid phosphatase(GO:0003993)	12	9	0.6675	0.533517932	0.5201	9	0.99324631	0.490140939	0.335902579	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
acid-D-amino acid ligase(GO:0016881)	79	64	0.4742	0.372654629	0.7412	64	0.952762218	0.487406008	0.105172499	0.271302586	0.310384147	0.856435137	0.952762218	0.980834464	0.980834464	0.990371596	0.990371596	0.990371596
actin capping protein(GO:0008290)	7	5	0.7624	0.242865994	0.9065	5	0.99624343	0.379644685	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
actin cytoskeleton organization and biogenesis(GO:0030036)	44	26	0.6675	0.270147043	0.8762	26	0.980588913	0.416954213	0.095350213	0.37469273	0.811771408	0.939151614	0.980588913	0.992191636	0.992191636	0.996088461	0.996088461	0.996088461
actin cytoskeleton reorganization(GO:0007012)	16	14	0.5015	0.441482825	0.6454	14	0.989510058	0.443895242	0.236754398	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
actin filament organization(GO:0007015)	24	14	0.7624	0.308150106	0.8398	14	0.989510058	0.401822059	0.065632579	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
actin filament severing(GO:0003789)	7	4	0.137	0.558223196	0.4961	4	0.996993839	0.589831401	0.39450791	0.127478061	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
actin filament(GO:0005884)	33	21	0.7776	0.308150106	0.8398	21	0.984298203	0.407068834	0.016774332	0.467515394	0.845041494	0.950576682	0.984298203	0.993690867	0.993690867	0.99684068	0.99684068	0.99684068
actin filament-based movement(GO:0030048)	11	4	0.8083	0.549150687	0.509	4	0.996993839	0.435044408	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
actin filament-based process(GO:0030029)	50	30	0.5771	0.270147043	0.8762	30	0.97762954	0.433267845	0.117571622	0.199728946	0.786083714	0.930104385	0.97762954	0.990993065	0.990993065	0.995486686	0.995486686	0.995486686
actin modulating(GO:0003790)	5	5	0.148	0.452730009	0.6329	5	0.99624343	0.612556459	0.174152408	0.153710562	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
actin polymerization and/or depolymerization(GO:0008154)	7	5	0.3269	0.258848401	0.8948	5	0.99624343	0.453929539	0.406058683	0.153710562	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
action potential regulation(GO:0001508)	10	8	0.2783	0.476773958	0.6041	8	0.993994913	0.609805694	0.116745444	0.220741534	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
activation of JUN kinase(GO:0007257)	7	6	0.3951	0.355364496	0.7725	6	0.995493473	0.503689203	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
acute-phase response(GO:0006953)	13	12	0.5626	0.584642638	0.4597	12	0.991003207	0.534024115	0.295119693	0.647801948	0.908331694	0.971470848	0.991003207	0.996392337	0.996392337	0.998194674	0.998194674	0.998194674
acyl-CoA binding(GO:0000062)	5	5	0.3072	0.589155309	0.4597	5	0.99624343	0.706534176	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
acyl-CoA dehydrogenase(GO:0003995)	11	9	0.5177	0.365542883	0.7555	9	0.99324631	0.518295337	0.173737232	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
acyl-CoA metabolism(GO:0006637)	8	7	0.3594	0.179562075	0.9629	7	0.994743967	0.392620482	0.385408169	0.200235489	0.053244179	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
acyl-CoA or acyl binding(GO:0005541)	6	6	0.3477	0.589155309	0.4597	6	0.995493473	0.675425388	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
acyl-CoA thioesterase(GO:0016291)	5	5	0.9795	0.1435007	0.9773	5	0.99624343	0.221499548	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
acylglycerol metabolism(GO:0006639)	10	9	0.8364	0.261429507	0.8857	9	0.99324631	0.408824613	0.173737232	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
acylglycerol O-acyltransferase(GO:0016411)	4	4	0.7142	0.121162364	0.9855	4	0.996993839	0.318342616	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
acyltransferase(GO:0008415)	76	60	0.4314	0.439913952	0.6565	60	0.955661234	0.512668893	0.09098705	0.275287493	0.300360102	0.86480905	0.955661234	0.982026877	0.982026877	0.990973371	0.990973371	0.990973371
adenylate cyclase activation(GO:0007190)	8	8	0.6675	0.26283122	0.8857	8	0.993994913	0.420074559	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
adenylate cyclase(GO:0004016)	6	6	0.5933	0.498242592	0.5805	6	0.995493473	0.451764293	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
adenylate kinase(GO:0004017)	6	4	0.3825	0.782252927	0.2615	4	0.996993839	0.582154147	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
adenylosuccinate synthase(GO:0004019)	7	5	0.5933	0.511195549	0.5534	5	0.99624343	0.541884974	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
adherens junction(GO:0005912)	23	17	0.6237	0.216732614	0.9335	17	0.987273709	0.442329873	0.185362063	0.540473012	0.872617561	0.959810417	0.987273709	0.994891068	0.994891068	0.997442455	0.997442455	0.997442455
ADP transport(GO:0015866)	7	4	0.1947	0.654227059	0.3729	4	0.996993839	0.639507753	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
adult locomotory behavior(GO:0008344)	5	4	0.8364	0.652709024	0.3729	4	0.996993839	0.540343218	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aerobic respiration(GO:0009060)	8	8	0.2964	0.681185651	0.3447	8	0.993994913	0.615623588	0.272339628	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
aging(GO:0007568)	5	5	0.6829	0.497381723	0.5805	5	0.99624343	0.464950316	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
alanine aminopeptidase(GO:0016284)	6	5	0.6516	0.428784541	0.6697	5	0.99624343	0.457723577	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
alcohol dehydrogenase(GO:0004022)	8	8	0.1947	0.633577043	0.3962	8	0.993994913	0.692442386	0.272339628	0.220741534	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
"alcohol dehydrogenase, zinc-dependent(GO:0004024)"	7	7	0.1537	0.633577043	0.3962	7	0.994743967	0.713618761	0.248034262	0.200235489	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
alcohol metabolism(GO:0006066)	14	11	0.7776	0.325340904	0.8145	11	0.991750457	0.446613513	0.117713351	0.671689645	0.915644709	0.973818813	0.991750457	0.996692726	0.996692726	0.998345118	0.998345118	0.998345118
aldehyde dehydrogenase (NAD+)(GO:0004029)	9	4	0.7921	0.194995568	0.9506	4	0.996993839	0.30520849	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aldehyde dehydrogenase(GO:0004028)	9	4	0.7921	0.194995568	0.9506	4	0.996993839	0.30520849	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aldehyde metabolism(GO:0006081)	5	5	0.1537	0.454408396	0.6329	5	0.99624343	0.536735923	0.174152408	0.153710562	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
aldehyde reductase(GO:0004032)	6	6	0.7302	0.14322883	0.9773	6	0.995493473	0.329970386	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
aldehyde-lyase(GO:0016832)	7	5	0.8364	0.172530566	0.9629	5	0.99624343	0.394579946	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
aldo-keto reductase(GO:0004033)	4	4	0.6237	0.102680872	0.9919	4	0.996993839	0.319095288	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
aldolase(GO:0016228)	8	6	0.8523	0.220194347	0.9238	6	0.995493473	0.377553581	0.311449945	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
alpha DNA polymerase(GO:0003889)	9	8	0.6374	0.308000473	0.8398	8	0.993994913	0.420018075	0.272339628	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
alpha-mannosidase(GO:0004559)	5	4	0.8894	0.382370702	0.7296	4	0.996993839	0.347847358	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
alpha-sialidase(GO:0016997)	5	5	0.6237	0.700667064	0.3283	5	0.99624343	0.473080397	0.37831941	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
amine biosynthesis(GO:0009309)	7	7	0.8083	0.329132845	0.8145	7	0.994743967	0.410219449	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
amine metabolism(GO:0009308)	22	22	0.6374	0.394867413	0.7111	22	0.983555448	0.436349914	0.147685002	0.366335636	0.838282182	0.948281296	0.983555448	0.993390931	0.993390931	0.996690236	0.996690236	0.996690236
amine/polyamine transporter(GO:0005275)	20	19	0.6675	0.246930432	0.9065	19	0.985785058	0.422513738	0.196014038	0.502677912	0.858720929	0.955183089	0.985785058	0.994290877	0.994290877	0.997141568	0.997141568	0.997141568
amino acid activation(GO:0006418)	74	60	0.3594	0.437280487	0.6565	60	0.955661234	0.506318	0.042825903	0.041863855	0.300360102	0.86480905	0.955661234	0.982026877	0.982026877	0.990973371	0.990973371	0.990973371
amino acid biosynthesis(GO:0008652)	24	18	0.3072	0.715140823	0.3192	18	0.986529159	0.548758821	0.243988507	0.346294021	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
amino acid catabolism(GO:0009063)	25	23	0.6374	0.256890221	0.8948	23	0.982813142	0.404563117	0.133135707	0.369402048	0.154243921	0.945991107	0.982813142	0.993091039	0.993091039	0.996539792	0.996539792	0.996539792
amino acid derivative metabolism(GO:0006575)	35	33	0.4866	0.394867413	0.7111	33	0.975414703	0.479153494	0.177385316	0.217605359	0.767342975	0.923372654	0.975414703	0.990094613	0.990094613	0.995035354	0.995035354	0.995035354
amino acid metabolism(GO:0006520)	103	90	0.5177	0.337327147	0.8009	90	0.934089634	0.462837002	0.065737513	0.227864828	0.355011527	0.803830153	0.934089634	0.973101435	0.973101435	0.986460057	0.986460057	0.986460057
amino acid permease(GO:0015359)	4	4	0.6374	0.597669824	0.4436	4	0.996993839	0.415851272	0.39450791	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
amino acid transport(GO:0006865)	23	20	0.6675	0.214271651	0.9335	20	0.985041406	0.393232232	0.231068651	0.484779302	0.851854271	0.952877276	0.985041406	0.99399085	0.99399085	0.996991124	0.996991124	0.996991124
amino acid transporter(GO:0015171)	24	22	0.6516	0.246930432	0.9065	22	0.983555448	0.422936535	0.211571718	0.450863774	0.838282182	0.948281296	0.983555448	0.993390931	0.993390931	0.996690236	0.996690236	0.996690236
amino acid-polyamine transporter(GO:0005279)	15	14	0.6675	0.214271651	0.9335	14	0.989510058	0.402123581	0.275843115	0.602534892	0.893877164	0.966790829	0.989510058	0.995791693	0.995791693	0.997893787	0.997893787	0.997893787
aminoacyl-tRNA hydrolase reaction(GO:0006439)	8	7	0.6374	0.217240807	0.9335	7	0.994743967	0.386725473	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
aminoglycan biosynthesis(GO:0006023)	10	7	0.7776	0.27562308	0.8762	7	0.994743967	0.405486231	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
aminoglycan metabolism(GO:0006022)	13	10	0.7776	0.343336529	0.7868	10	0.992498158	0.483727588	0.143009978	0.696454331	0.923015482	0.976172099	0.992498158	0.996993161	0.996993161	0.998495562	0.998495562	0.998495562
aminopeptidase(GO:0004177)	15	13	0.7302	0.357941275	0.7725	13	0.990256407	0.465283736	0.222864843	0.624760311	0.901075993	0.96912819	0.990256407	0.996091992	0.996091992	0.99804423	0.99804423	0.99804423
aminosugar metabolism(GO:0006040)	14	12	0.3477	0.50685227	0.5662	12	0.991003207	0.583358453	0.211005539	0.647801948	0.908331694	0.971470848	0.991003207	0.996392337	0.996392337	0.998194674	0.998194674	0.998194674
amyloid protein(GO:0005208)	4	4	0.0086	1.160855186	0.095	4	0.996993839	0.719403884	0.126875647	0.127478061	0.031151176	0.009563347	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
anabolic carbohydrate metabolism(GO:0006093)	12	6	0.6989	0.485531942	0.5932	6	0.995493473	0.468177483	0.401216791	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
anaphase-promoting complex(GO:0005680)	9	7	0.7624	0.451549158	0.6329	7	0.994743967	0.480271084	0.385408169	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
angiogenesis(GO:0001525)	8	8	0.5626	0.242270027	0.9065	8	0.993994913	0.450312547	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
anion channel(GO:0005253)	38	32	0.6989	0.338641716	0.8009	32	0.976152535	0.435752079	0.045192623	0.313621859	0.773540656	0.925611472	0.976152535	0.990394052	0.990394052	0.995185798	0.995185798	0.995185798
anion exchanger(GO:0015380)	4	4	0.5771	0.787013815	0.2615	4	0.996993839	0.585766973	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
anion transport(GO:0006820)	57	49	0.4089	0.385609053	0.7296	49	0.96366993	0.4847511	0.145110656	0.156765824	0.674558044	0.888234834	0.96366993	0.985309748	0.985309748	0.992628253	0.992628253	0.992628253
anion transporter(GO:0008509)	29	26	0.2878	0.580341589	0.4597	26	0.980588913	0.509538415	0.087837655	0.050500673	0.811771408	0.939151614	0.980588913	0.992191636	0.992191636	0.996088461	0.996088461	0.996088461
anion:anion antiporter(GO:0015301)	4	4	0.5771	0.787013815	0.2615	4	0.996993839	0.585766973	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
anti-apoptosis(GO:0006916)	57	45	0.4453	0.376234	0.7412	45	0.966595459	0.500043758	0.151384747	0.326063428	0.696666037	0.896899816	0.966595459	0.986504878	0.986504878	0.993230029	0.993230029	0.993230029
antibody(GO:0003823)	13	9	0.864	0.348542683	0.7868	9	0.99324631	0.405761441	0.335902579	0.239543964	0.067388704	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
antigen presentation(GO:0019882)	11	9	0.0763	0.309932898	0.8398	9	0.99324631	0.530481069	0.046331535	0.035161044	0.067388704	0.021275619	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
"antigen presentation, endogenous antigen via MHC class I(GO:0019883)"	5	4	0.0027	2.368064377	0.0016	4	0.996993839	0.738070149	0.01811626	0.007011393	0.031151176	0.009563347	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
"antigen presentation, exogenous antigen via MHC class II(GO:0019884)"	6	5	0.7142	0.276199656	0.8762	5	0.99624343	0.364348088	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
antigen processing(GO:0030333)	11	9	0.0763	0.309932898	0.8398	9	0.99324631	0.530481069	0.046331535	0.035161044	0.067388704	0.021275619	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
"antigen processing, endogenous antigen via MHC class I(GO:0019885)"	5	4	0.0027	2.368064377	0.0016	4	0.996993839	0.738070149	0.01811626	0.007011393	0.031151176	0.009563347	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
"antigen processing, exogenous antigen via MHC class II(GO:0019886)"	6	5	0.7142	0.276199656	0.8762	5	0.99624343	0.364348088	0.406058683	0.834596248	0.960751489	0.988018709	0.99624343	0.998496015	0.998496015	0.999247781	0.999247781	0.999247781
antimicrobial humoral response (sensu Invertebrata)(GO:0006960)	20	18	0.4314	0.430717993	0.6565	18	0.986529159	0.514557248	0.196265714	0.346294021	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
antimicrobial humoral response(GO:0019730)	20	18	0.4314	0.430717993	0.6565	18	0.986529159	0.514557248	0.196265714	0.346294021	0.865641886	0.957494132	0.986529159	0.99459095	0.99459095	0.997292011	0.997292011	0.997292011
antimicrobial peptide(GO:0003795)	10	9	0.0412	1.181022332	0.0906	9	0.99324631	0.566870878	0.009911848	0.239543964	0.067388704	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
antioxidant(GO:0016209)	8	7	0.8767	0.355315282	0.7725	7	0.994743967	0.368330465	0.256391635	0.776336749	0.945478838	0.983263983	0.994743967	0.997894737	0.997894737	0.998946893	0.998946893	0.998946893
antiport(GO:0015982)	5	4	0.5471	0.769303346	0.2791	4	0.996993839	0.52163932	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
antiporter(GO:0015297)	10	9	0.4197	0.580341589	0.4597	9	0.99324631	0.5816511	0.335902579	0.722128062	0.93044446	0.978530714	0.99324631	0.997293641	0.997293641	0.998646006	0.998646006	0.998646006
antiviral response protein(GO:0003800)	10	8	0.7142	0.529633617	0.5347	8	0.993994913	0.48049405	0.362655156	0.748744058	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
apical bud growth(GO:0007118)	11	4	0.8083	0.549150687	0.509	4	0.996993839	0.435044408	0.459531147	0.86533836	0.968478322	0.990404147	0.996993839	0.998796721	0.998796721	0.999398225	0.999398225	0.999398225
apicolateral plasma membrane(GO:0016327)	54	46	0.5309	0.36897246	0.7555	46	0.965863412	0.464168802	0.077392237	0.266945294	0.257266252	0.894726172	0.965863412	0.986206028	0.986206028	0.993079585	0.993079585	0.993079585
apolipoprotein(GO:0005320)	12	11	0.3373	0.640240384	0.3854	11	0.991750457	0.579757795	0.192163691	0.671689645	0.915644709	0.973818813	0.991750457	0.996692726	0.996692726	0.998345118	0.998345118	0.998345118
apoptosis activator(GO:0016506)	11	8	0.2678	0.527331296	0.5347	8	0.993994913	0.52253728	0.116745444	0.220741534	0.937932094	0.980894672	0.993994913	0.997594167	0.997594167	0.99879645	0.99879645	0.99879645
apoptosis inhibitor(GO:0008189)	42	34	0.3477	0.428582348	0.6697	34	0.974677316	0.538111207	0.177358496	0.223025752	0.761194022	0.921138913	0.974677316	0.989795219	0.989795219	0.99488491	0.99488491	0.99488491
apoptosis regulator(GO:0016329)	79	59	0.3373	0.475928584	0.6041	59	0.956387089	0.536054254	0.086520688	0.09906576	0.622255456	0.866914489	0.956387089	0.982325093	0.982325093	0.991123815	0.991123815	0.991123815
apoptotic mitochondrial changes(GO:0008637)	6	6	0.137	0.758453519	0.2886	6	0.995493473	0.687747829	0.215134072	0.804941819	0.953085149	0.985638658	0.995493473	0.998195353	0.998195353	0.999097337	0.999097337	0.999097337
